paxCode,label,steamId
PAX0010515418,Dragon Ball FighterZ,
PAX0010515622,Dragon Ball: Xenoverse,
PAX0010515690,Dragon Ball: Xenoverse Season Pass (DLC),
PAX0010515724,Dragon Ball: Xenoverse 2,
PAX0010515826,Dragon Ball: Xenoverse 2 - Super Pass (DLC),
PAX0010515894,Dragon Ball Z: Kakarot (Deluxe Edition),
PAX0010519362,Dragon Ball Z: Kakarot Season Pass (DLC),1144646
PAX0010521640,Dragon Ball Z: Kakarot (Ultimate Edition),
PAX0010526978,Jump Force,
PAX0010532146,Naruto Shippuden: Ultimate Ninja Storm Trilogy,
PAX0010533574,One Piece: World Seeker,
PAX0010533676,One Piece: Burning Blood,
PAX0010552240,Tekken 7 Season Pass (DLC),
PAX0010552342,Tekken 6,
PAX0010556728,Naruto to Boruto: Shinobi Striker  Season Pass (DLC),
PAX0010567030,Naruto Shippuden: Ultimate Ninja Storm 2,543870
PAX0010567064,Naruto: Ultimate Ninja Storm,495140
PAX0010567132,NARUTO STORM 4: Road to Boruto Expansion (DLC),495160
PAX0010567200,One Piece Burning Blood Gold Pack (DLC),501580
PAX0010567268,One Piece Pirate Warriors 3 Pack 2 (DLC),378505
PAX0010585084,Black Clover: Quartet Knights,714080
PAX0010585968,Naruto to Boruto: Shinobi Striker,633230
PAX0010588518,God Eater 3,899440
PAX0010593278,One Punch Man: A Hero Nobody Knows,991560
PAX0010593414,Rad,
PAX0010593584,Code Vein,
PAX0010605960,One Piece: Pirate Warriors 4,1089090
PAX0010607966,Dragon Ball FighterZ: FighterZ Pass 3 (DLC),1248434
PAX0010620750,Code Vein: Season Pass (DLC),773991
PAX0010640538,One Piece: Pirate Warriors 4 - Character Pass (DLC),1203045
PAX0010640946,One Piece: Pirate Warriors 4 (Deluxe Edition),
PAX0010702350,Sword Art Online: Fatal Bullet (Deluxe Edition),
PAX0010731760,Doraemon Story of Seasons,965230
PAX0010781400,Sword Art Online: Alicization Lycoris,1009290
PAX0010797788,Sword Art Online: Alicization Lycoris (Deluxe Edition),
PAX0010797890,Mr. DRILLER DrillLand,1126750
PAX0010831006,My Hero One's Justice 2,1058450
PAX0010831040,My Hero One's Justice 2 (Deluxe Edition),1058450
PAX0010831210,My Hero One's Justice 2 Season Pass (DLC),1228710
PAX0010849876,Captain Tsubasa: Rise of New Champions,1163550
PAX0010849944,Captain Tsubasa: Rise of New Champions (Deluxe Edition),
PAX0010850046,Project Cars 3,958400
PAX0010850386,Project CARS 3,958400
PAX0010850420,Fast & Furious Crossroads,678030
PAX0010850454,Fast & Furious Crossroads (Deluxe Edition),
PAX0010850488,Fast & Furious Crossroads Season Pass (DLC),1337901
PAX0010850522,Naruto to Boruto: Shinobi Striker Season Pass 2 (DLC),1087429
PAX0010850556,Naruto to Boruto: Shinobi Striker Season Pass 3 (DLC),1090164
PAX0010877960,Captain Tsubasa: Rise of New Champions Character Pass (DLC),1329573
PAX0010878402,Project Cars 3 Season Pass (DLC),1354110
PAX0010915088,Sword Art Online: Fatal Bullet,626690
PAX0010942390,Project CARS 2,378860
PAX0010948476,Accel World Vs. Sword Art Online (Deluxe Edition),607880
PAX0010982544,The Dark Pictures: Little Hope,1194630
PAX0010983938,Pac-Man Championship Edition DX: All You can Eat Pack (DLC),
PAX0010995022,Digimon Story Cyber Sleuth (Complete Edition),1042550
PAX0010999306,Sword Art Online: Hollow Realization (Deluxe Edition),607890
PAX0011015694,Ni No Kuni II: Revenant Kingdom,589360
PAX0011015762,Ni no Kuni II: Revenant Kingdom (The Prince's Edition),589360
PAX0011017122,Tales of Berseria,429660
PAX0011037828,Boost,577370
PAX0011042010,Tekken 7 Season Pass 4 (DLC),1289450
PAX0011050068,DeadCore,284460
PAX0011056086,Soulcalibur VI,
PAX0011060064,One Piece: Unlimited World Red (Deluxe Edition),
PAX0011063158,Hexodius,236490
PAX0011070536,Digimon Story Cyber Sleuth (Complete Edition),1042550
PAX0011077744,Jump Force: Character Pass (DLC),
PAX0011078050,Naruto to Boruto: Shinobi Striker,
PAX0011083252,Dragon Ball: Xenoverse 2,
PAX0011083694,Dark Souls III,
PAX0011083728,Dark Souls III (Deluxe Edition),
PAX0011085190,Dark Souls II: Scholar of the First Sin,
PAX0011087230,Naruto Shippuden: Ultimate Ninja Storm 4 Season Pass (DLC),
PAX0011102666,The Dark Pictures Anthology: Little Hope,
PAX0011112662,Project Cars 2,
PAX0011150674,Jump Force,816020
PAX0011176038,Dragon Ball: Xenoverse Season Pass (DLC),58736
PAX0011178724,Dark Souls III (Deluxe Edition),
PAX0011183892,Little Nightmares,424840
PAX0011194296,Dark Souls II: Scholar of the First Sin,335300
PAX0011201402,Dragon Ball: Xenoverse Season Pass (DLC),
PAX0011201674,Little Nightmares: Secrets of The Maw - Expansion Pass (DLC),
PAX0011201878,Dark Souls III: Season Pass (DLC),
PAX0011204496,Platformines,264540
PAX0011204972,.Hack//G.U. Last Recode,525480
PAX0011207386,Little Nightmares II,860510
PAX0011207420,Little Nightmares II (Deluxe Edition),
PAX0011210956,Project Cars 2 (Deluxe Edition),
PAX0011212350,One Piece: World Seeker,
PAX0011216498,The Dark Pictures Anthology: Little Hope,1194630
PAX0011216770,Tekken 7 (Ultimate Edition),
PAX0011218844,Jump Force (Ultimate Edition),
PAX0011219898,Tekken 7,
PAX0011219966,One Punch Man: A Hero Nobody Knows,991560
PAX0011220306,One Punch Man: A Hero Nobody Knows (Deluxe Edition),
PAX0011221632,Dragon Ball Z: Kakarot,
PAX0011222856,Twin Mirror,
PAX0011223468,Naruto to Boruto: Shinobi Striker (Deluxe Edition),
PAX0011228024,Project Cars (Digital Edition),
PAX0011229078,Project Cars 2 (Deluxe Edition),
PAX0011229452,The Dark Pictures Anthology: Little Hope,
PAX0011229894,Captain Tsubasa: Rise of New Champions - Character Pass (DLC),
PAX0011233736,Captain Tsubasa: Rise of a New Champions,
PAX0011233974,Namco Museum Archives Volume 1,
PAX0011234110,Namco Museum Archives Volume 2,
PAX0011238836,God Eater 2: Rage Burst,438490
PAX0011239006,Ni no Kuni II: Revenant Kingdom,589360
PAX0011241386,Project Cars 2: Japanese Cars Bonus Pack (DLC),648310
PAX0011249818,New Gundam Breaker,738530
PAX0011254034,Ridge Racer Unbounded Bundle,202310
PAX0011254782,Little Nightmares II,860510
PAX0011254884,Little Nightmares II,
PAX0011254918,Little Nightmares II (Deluxe Edition),
PAX0011265050,One Piece: Pirate Warriors 4 (Deluxe Edition),
PAX0011267056,Accel World Vs. Sword Art Online (Deluxe Edition),607880
PAX0011268178,Ni no Kuni: Wrath of the White Witch Remastered,798460
PAX0011271340,Tales of Vesperia (Definitive Edition),738540
PAX0011280214,Project Cars 3,
PAX0011291060,Tekken 7 (Ultimate Edition),
PAX0011300546,Dark Souls III (Deluxe Edition),
PAX0011312446,Jump Force: Character Pass 2 (DLC),1248335
PAX0011312922,Code Vein (Deluxe Edition),
PAX0011314860,One Piece Pirate Warriors 3 (Gold Edition),
PAX0011315778,Project Cars: Modified Car Pack (DLC),334771
PAX0011322374,Little Nightmares: Secrets of The Maw (DLC),640920
PAX0011326488,Dark Souls II: Season Pass (DLC),284450
PAX0011330092,Project Cars 2: Japanese Bonus Cars Pack (DLC),
PAX0011333050,Ni no Kuni II: Revenant Kingdom,
PAX0011334240,Dragon Ball Xenoverse GT Pack 1 (DLC),
PAX0011338218,Soulcalibur VI (Deluxe Edition),
PAX0011340360,Project Cars,234630
