Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP
Digimon Survive,E03730,1,298.0,0.0,298.0,40.638259999999995,40.638259999999995,5.2829738,35.355286199999995,0.2,7.071057239999999,0.05,1.7677643099999998,0.05,1.7677643099999998,24.75,24.748700339999996,0.609
DORAEMON STORY OF SEASONS,E06163,1,228.0,0.5,114.0,15.54618,15.54618,2.0210034,13.5251766,0.2,2.7050353200000004,0.05,0.6762588300000001,0.05,0.6762588300000001,9.47,9.46762362,0.609
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,1,248.0,0.0,248.0,33.819759999999995,33.819759999999995,4.3965688,29.423191199999994,0.2,5.884638239999999,0.05,1.4711595599999998,0.05,1.4711595599999998,20.6,20.596233839999996,0.609
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,3,248.0,0.3,173.0,23.59201,70.77602999999999,3.0669613,61.5751461,0.2,12.31502922,0.05,3.078757305,0.05,3.078757305,14.37,43.102602270000006,0.6090000000000001
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,2,348.0,0.0,348.0,47.456759999999996,94.91351999999999,6.1693788,82.5747624,0.2,16.51495248,0.05,4.12873812,0.05,4.12873812,28.9,57.80233367999999,0.609
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,3,348.0,0.3,243.0,33.13791,99.41372999999999,4.3079282999999995,86.4899451,0.2,17.29798902,0.05,4.324497255,0.05,4.324497255,20.18,60.54296157,0.6090000000000001
DRAGON BALL FighterZ,E02533,2,198.0,0.0,198.0,27.00126,54.00252,3.5101638,46.982192399999995,0.2,9.396438479999999,0.05,2.3491096199999997,0.05,2.3491096199999997,16.44,32.887534679999995,0.609
DRAGON BALL FighterZ,E02533,1,198.0,0.56,87.0,11.864189999999999,11.864189999999999,1.5423447,10.3218453,0.2,2.06436906,0.05,0.516092265,0.05,0.516092265,7.23,7.225291709999999,0.609
DRAGON BALL FighterZ - FighterZ Edition,E02595,1,298.0,0.7,89.0,12.13693,12.13693,1.5778009,10.5591291,0.2,2.11182582,0.05,0.527956455,0.05,0.527956455,7.39,7.39139037,0.609
DRAGON BALL FighterZ - Legendary Edition,E03177,1,398.0,0.0,398.0,54.275259999999996,54.275259999999996,7.0557837999999995,47.219476199999995,0.2,9.44389524,0.05,2.36097381,0.05,2.36097381,33.05,33.053633340000005,0.6090000000000001
DRAGON BALL FighterZ - Legendary Edition,E02596,23,398.0,0.64,143.0,19.500909999999998,448.52092999999996,2.5351182999999997,390.2132090999999,0.2,78.04264181999999,0.05,19.510660454999996,0.05,19.510660454999996,11.88,273.14924636999996,0.609
DRAGON BALL XENOVERSE 2,E02035,14,98.0,0.0,98.0,13.36426,187.09964,1.7373538,162.7766868,0.2,32.55533736,0.05,8.13883434,0.05,8.13883434,8.14,113.94368075999998,0.6089999999999999
DRAGON BALL XENOVERSE 2,E02035,1,98.0,0.0999999999999999,88.0,12.00056,12.00056,1.5600728000000001,10.4404872,0.2,2.08809744,0.05,0.52202436,0.05,0.52202436,7.31,7.30834104,0.609
DRAGON BALL XENOVERSE 2 Deluxe Edition,E02036,2,198.0,0.0,198.0,27.00126,54.00252,3.5101638,46.982192399999995,0.2,9.396438479999999,0.05,2.3491096199999997,0.05,2.3491096199999997,16.44,32.887534679999995,0.609
DRAGON BALL XENOVERSE 2 Deluxe Edition,E02036,6,198.0,0.5,99.0,13.50063,81.00377999999999,1.7550819,70.47328859999999,0.2,14.094657719999999,0.05,3.5236644299999997,0.05,3.5236644299999997,8.22,49.331302019999995,0.609
DRAGON BALL XENOVERSE 2 Special Edition,E06308,4,248.0,0.0,248.0,33.819759999999995,135.27903999999998,4.3965688,117.69276479999998,0.2,23.538552959999997,0.05,5.884638239999999,0.05,5.884638239999999,20.6,82.38493535999999,0.609
DRAGON BALL XENOVERSE 2 Special Edition,E06308,8,248.0,0.5,124.0,16.909879999999998,135.27903999999998,2.1982844,117.69276479999998,0.2,23.538552959999997,0.05,5.884638239999999,0.05,5.884638239999999,10.3,82.38493535999999,0.609
DRAGON BALL Z: KAKAROT,E03005,1,298.0,0.0,298.0,40.638259999999995,40.638259999999995,5.2829738,35.355286199999995,0.2,7.071057239999999,0.05,1.7677643099999998,0.05,1.7677643099999998,24.75,24.748700339999996,0.609
DRAGON BALL Z: KAKAROT,E03005,3,298.0,0.7,89.0,12.13693,36.41079,1.5778009,31.6773873,0.2,6.33547746,0.05,1.583869365,0.05,1.583869365,7.39,22.174171110000003,0.6090000000000001
DRAGON BALL Z: KAKAROT Deluxe Edition,E03730,44,398.0,0.77,91.53999999999999,12.483309799999999,549.2656311999999,1.622830274,477.8610991439999,0.2,95.57221982879999,0.05,23.893054957199997,0.05,23.893054957199997,7.6,334.5027694008,0.6090000000000001
DRAGON BALL Z: KAKAROT Legendary Edition,E06163,1,498.0,0.0,498.0,67.91225999999999,67.91225999999999,8.828593799999998,59.08366619999999,0.2,11.816733239999998,0.05,2.9541833099999995,0.05,2.9541833099999995,41.36,41.358566339999996,0.609
DRAGON BALL Z: KAKAROT Legendary Edition,E06163,129,498.0,0.75,124.5,16.978064999999997,2190.1703849999994,2.2071484499999996,1905.4482349499997,0.2,381.08964698999995,0.05,95.27241174749999,0.05,95.27241174749999,10.34,1333.8137644649998,0.6090000000000001
DRAGON BALL: Sparking! ZERO,E06127,152,298.0,0.0,298.0,40.638259999999995,6177.015519999999,5.2829738,5374.003502399999,0.2,1074.80070048,0.05,268.70017512,0.05,268.70017512,24.75,3761.8024516799987,0.6089999999999999
DRAGON BALL: Sparking! ZERO Deluxe Edition,E06634,103,478.0,0.0,478.0,65.18486,6714.04058,8.4740318,5841.2153046,0.2,1168.24306092,0.05,292.06076523,0.05,292.06076523,39.7,4088.8507132199998,0.609
DRAGON BALL: Sparking! ZERO Ultimate Edition,E06655,48,538.0,0.0,538.0,73.36706,3521.61888,9.5377178,3063.8084256,0.2,612.76168512,0.05,153.19042128,0.05,153.19042128,44.68,2144.66589792,0.609
DRAGON BALL: THE BREAKERS,E05011,5,98.0,0.0,98.0,13.36426,66.8213,1.7373538,58.134531,0.2,11.6269062,0.05,2.90672655,0.05,2.90672655,8.14,40.6941717,0.609
GOD EATER 2 Rage Burst,E05369,57,268.0,0.9,26.0,3.5456199999999995,202.10033999999996,0.46093059999999997,175.82729579999997,0.2,35.16545916,0.05,8.79136479,0.05,8.79136479,2.16,123.07910706,0.6090000000000001
GOD EATER 3,E03177,207,268.0,0.9,26.0,3.5456199999999995,733.9433399999999,0.46093059999999997,638.5307057999999,0.2,127.70614115999997,0.05,31.926535289999993,0.05,31.926535289999993,2.16,446.9714940599999,0.6089999999999999
GUNDAM BREAKER 4,E04524,5,298.0,0.0,298.0,40.638259999999995,203.19129999999998,5.2829738,176.77643099999997,0.2,35.355286199999995,0.05,8.838821549999999,0.05,8.838821549999999,24.75,123.74350169999997,0.6089999999999999
