Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP,Unnamed: 19,Unnamed: 20
SWORD ART ONLINE Fractured Daydream Deluxe Edition,E06531,1,428.0,0.0,428.0,58.7858,58.7858,7.642154000000001,51.143646000000004,0.2,10.228729200000002,0.05,2.5571823000000005,0.05,2.5571823000000005,35.8,35.8,0.6089906065750572,E06531,Match
SWORD ART ONLINE Fractured Daydream Deluxe Edition,E06272,3,428.0,0.3,299.0,41.06765,123.20295,5.3387945000000006,107.1865665,0.2,21.4373133,0.05,5.359328325,0.05,5.359328325,25.01,75.03,0.6089951579893176,E06531,Match
SWORD ART ONLINE Fractured Daydream Premium Edition,E06532,4,498.0,0.3,348.0,47.7978,191.1912,6.213714,166.336344,0.2,33.267268800000004,0.05,8.316817200000001,0.05,8.316817200000001,29.11,116.44,0.6090238462858123,E06532,Match
SWORD ART ONLINE Fractured Daydream Premium Edition,E06532,1,498.0,0.0,498.0,68.4003,68.4003,8.892039,59.508261000000005,0.2,11.901652200000001,0.05,2.9754130500000002,0.05,2.9754130500000002,41.66,41.66,0.6090616561623267,E06532,Match
SWORD ART ONLINE Last Recollection,E05687,13,298.0,0.75,74.0,10.1639,132.1307,1.321307,114.953709,0.2,22.990741800000002,0.05,5.7476854500000005,0.05,5.7476854500000005,6.19,80.47,0.6090181918358111,E05687,Match
SWORD ART ONLINE Last Recollection Deluxe Edition,E06096,21,428.0,0.75,107.0,14.69645,308.62545,1.9105385000000001,268.5041415,0.2,53.700828300000005,0.05,13.425207075000001,0.05,13.425207075000001,8.95,187.95,0.6089906065750572,E06096,Match
Sword Art Online: Fatal Bullet,E02540,34,158.0,0.85,23.0,3.15905,107.4077,0.41067650000000006,93.444699,0.2,18.6889398,0.05,4.67223495,0.05,4.67223495,1.92,65.28,0.6077776546746648,E02540,Match
Sword Art Online: Hollow Realization Deluxe Edition,E02310,131,278.0,0.85,41.0,5.63135,737.70685,0.7320755000000001,641.8049595000001,0.2,128.36099190000002,0.05,32.090247975000004,0.05,32.090247975000004,3.43,449.33000000000004,0.6090901826382662,E02310,Match
Sword Art Online: Lost Song,E05372,12,88.0,0.75,22.0,3.0217,36.260400000000004,0.39282100000000003,31.546548,0.2,6.309309600000001,0.05,1.5773274000000002,0.05,1.5773274000000002,1.84,22.080000000000002,0.6089287487176093,E05372,Match
SYNDUALITY Echo of Ada,E05693,6,198.0,0.0,198.0,27.1953,163.1718,3.535389,141.95946600000002,0.2,28.391893200000005,0.05,7.097973300000001,0.05,7.097973300000001,16.56,99.35999999999999,0.6089287487176093,E05693,Match
Taiko no Tatsujin: Rhythm Festival,E06129,80,248.0,0.4,148.0,20.3278,1626.224,2.642614,1414.8148800000001,0.2,282.962976,0.05,70.740744,0.05,70.740744,12.38,990.4000000000001,0.6090181918358112,E06129,Match
Taiko no Tatsujin: Rhythm Festival,E06129,15,248.0,0.0,248.0,34.0628,510.94200000000006,4.428164000000001,444.51954,0.2,88.903908,0.05,22.225977,0.05,22.225977,20.74,311.09999999999997,0.6088753713728758,E06129,Match
Taiko no Tatsujin: Rhythm Festival The Setlist Edition,E06635,22,348.0,0.24,264.0,36.2604,797.7288,4.713852,694.024056,0.2,138.8048112,0.05,34.7012028,0.05,34.7012028,22.08,485.76,0.6089287487176093,E06635,Match
Taiko no Tatsujin: Rhythm Festival The Setlist Edition,E06635,7,348.0,0.0,348.0,47.7978,334.5846,6.213714,291.088602,0.2,58.2177204,0.05,14.5544301,0.05,14.5544301,29.11,203.76999999999998,0.6090238462858122,E06635,Match
Tales of Arise,E03024,152,198.0,0.75,49.0,6.73015,1022.9828,0.8749195000000001,889.995036,0.2,177.99900720000002,0.05,44.499751800000006,0.05,44.499751800000006,4.1,623.1999999999999,0.6091989034419737,E03024,Match
Tales of Arise - Beyond the Dawn Deluxe Edition,E06161,16,398.0,0.63,147.0,20.19045,323.0472,2.6247585,281.051064,0.2,56.2102128,0.05,14.0525532,0.05,14.0525532,12.3,196.8,0.6091989034419739,E06161,Match
Tales of Arise - Beyond the Dawn Edition,E06160,67,298.0,0.67,98.0,13.4603,901.8401,1.7498390000000001,784.6008870000001,0.2,156.92017740000003,0.05,39.23004435000001,0.05,39.23004435000001,8.2,549.4,0.6091989034419738,E06160,Match
Tales of Arise - Beyond the Dawn Expansion,E06168,2,178.0,0.34,117.0,16.06995,32.1399,2.0890934999999997,27.961712999999996,0.2,5.592342599999999,0.05,1.3980856499999998,0.05,1.3980856499999998,9.79,19.58,0.6092116030230337,E06168,Match
Tales of Arise - Beyond the Dawn Ultimate Edition,E06162,38,498.0,0.6,199.0,27.33265,1038.6407,3.5532445000000004,903.617409,0.2,180.7234818,0.05,45.18087045,0.05,45.18087045,16.65,632.6999999999999,0.6091615705026772,E06162,Match
Tales of Berseria,E02174,1,268.0,0.0,268.0,36.8098,36.8098,4.785274,32.024526,0.2,6.404905200000001,0.05,1.6012263000000002,0.05,1.6012263000000002,22.42,22.42,0.6090769306000032,E02174,Match
Tales of Graces f Remastered,E06381,1,198.0,0.0,198.0,27.1953,27.1953,3.535389,23.659911,0.2,4.7319822,0.05,1.18299555,0.05,1.18299555,16.56,16.56,0.6089287487176093,E06381,Match
Tales of Graces f Remastered Deluxe Edition,E06689,2,298.0,0.0,298.0,40.9303,81.8606,5.320939,71.218722,0.2,14.2437444,0.05,3.5609361,0.05,3.5609361,24.93,49.86,0.6090842236680405,E06689,Match
Tales of Vesperia: Definitive Edition,E03191,13,258.0,0.8,51.0,7.00485,91.06305,0.9106305,79.22485350000001,0.2,15.844970700000003,0.05,3.9612426750000007,0.05,3.9612426750000007,4.27,55.50999999999999,0.6095776497712299,E03191,Match
Tales of Zestiria,E01607,51,314.0,0.9,31.0,4.25785,217.15035000000003,0.5535205000000001,188.9208045,0.2,37.7841609,0.05,9.446040225,0.05,9.446040225,2.59,132.09,0.6082882205808094,E01607,Match
TEKKEN 7,E02278,4,198.0,0.75,49.0,6.73015,26.9206,0.8749195000000001,23.420922,0.2,4.6841844,0.05,1.1710461,0.05,1.1710461,4.1,16.4,0.6091989034419737,E02278,Match
TEKKEN 7 - Originals Edition,E05647,1,398.0,0.0,398.0,54.6653,54.6653,7.106489000000001,47.558811,0.2,9.5117622,0.05,2.37794055,0.05,2.37794055,33.29,33.29,0.6089786391001238,E05647,Match
TEKKEN 7 - Originals Edition,E05647,24,398.0,0.85,59.0,8.10365,194.4876,1.0534745,169.20421199999998,0.2,33.8408424,0.05,8.4602106,0.05,8.4602106,4.94,118.56,0.609601846081704,E05647,Match
TEKKEN 8,E05700,10,348.0,0.5,174.0,23.8989,238.989,3.106857,207.92043,0.2,41.584086000000006,0.05,10.396021500000002,0.05,10.396021500000002,14.55,145.5,0.6088146316357657,E05700,Match
TEKKEN 8,E05700,1,348.0,0.0,348.0,47.7978,47.7978,6.213714,41.584086,0.2,8.316817200000001,0.05,2.0792043000000002,0.05,2.0792043000000002,29.11,29.11,0.6090238462858123,E05700,Match
TEKKEN 8 - Ultimate Edition,E06227,3,548.0,0.2,438.0,60.1593,180.4779,7.820709000000001,157.015773,0.2,31.4031546,0.05,7.85078865,0.05,7.85078865,36.64,109.92,0.6090496398728044,E06227,Match
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,E03566,3,248.0,0.5,124.0,17.0314,51.0942,2.2140820000000003,44.451954,0.2,8.8903908,0.05,2.2225977,0.05,2.2225977,10.37,31.11,0.608875371372876,E03566,Match
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Deluxe Edition,E06534,2,348.0,0.5,174.0,23.8989,47.7978,3.106857,41.584086,0.2,8.316817200000001,0.05,2.0792043000000002,0.05,2.0792043000000002,14.55,29.1,0.6088146316357657,E06534,Match
THE IDOLM@STER STARLIT SEASON,E03045,2,348.0,0.0,348.0,47.7978,95.5956,6.213714,83.168172,0.2,16.633634400000002,0.05,4.1584086000000005,0.05,4.1584086000000005,29.11,58.22,0.6090238462858123,E03045,Match
THE IDOLM@STER STARLIT SEASON,E03045,42,348.0,0.6,139.0,19.09165,801.8493000000001,2.4819145000000002,697.608891,0.2,139.5217782,0.05,34.88044455,0.05,34.88044455,11.63,488.46000000000004,0.6091668347157003,E03045,Match
THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,E05096,29,498.0,0.6,199.0,27.33265,792.6468500000001,3.5532445000000004,689.6027594999999,0.2,137.9205519,0.05,34.480137975,0.05,34.480137975,16.65,482.84999999999997,0.609161570502677,E05096,Match
THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,E05096,2,498.0,0.0,498.0,68.4003,136.8006,8.892039,119.01652200000001,0.2,23.803304400000002,0.05,5.9508261000000005,0.05,5.9508261000000005,41.66,83.32,0.6090616561623267,E05096,Match
We Love Katamari REROLL+ Royal Reverie,E05071,2,148.0,0.75,37.0,5.08195,10.1639,0.6606535,8.842593,0.2,1.7685186000000002,0.05,0.44212965000000004,0.05,0.44212965000000004,3.09,6.18,0.6080343175355917,E05071,Match
We Love Katamari REROLL+ Royal Reverie Special Edition,E06305,3,198.0,0.75,49.0,6.73015,20.19045,0.8749195000000001,17.5656915,0.2,3.5131383,0.05,0.878284575,0.05,0.878284575,4.1,12.299999999999999,0.6091989034419738,E06305,Match
Tales of Graces f Remastered Deluxe Edition,E06689,0,298.0,0.0,298.0,40.9303,0.0,5.320939,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,
TEKKEN 8,E05700,0,348.0,0.5,174.0,23.8989,0.0,3.106857,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,
TEKKEN 8 - Deluxe Edition,E06226,0,498.0,0.0,498.0,68.4003,0.0,8.892039,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,
TEKKEN 8 - Deluxe Edition,E06226,0,498.0,0.4,298.0,40.9303,0.0,5.320939,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,
TEKKEN 8 - Ultimate Edition,E06227,0,548.0,0.4,328.0,45.0508,0.0,5.856604000000001,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,E03566,0,248.0,0.4,148.0,20.3278,0.0,2.642614,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,E06534,0,348.0,0.4,208.0,28.5688,0.0,3.713944,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,
THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,E05096,0,498.0,0.6,199.0,27.33265,0.0,3.5532445000000004,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,
,,10177,55357.68000000001,,,,124473.57485000002,614.4434659999995,108292.01011949993,0.2,21658.4020239,,5414.600505975,,5414.600505975,,75803.03999999998,,,
