Product Name,Unnamed: 1,Unnamed: 2,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),"Payment Amount
(USD)",Disti Cost % from SRP
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition,,,E06164,,428.0,0.0,428.0,56.496,,7.344480000000001,,0.2,,0.07,,0.05,,,
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,,,E06165,,468.0,0.0,468.0,61.776,,8.030880000000002,,0.2,,0.05,,0.05,,,
NARUTO: Ultimate Ninja STORM,,,E05386,,108.0,0.0,108.0,14.256,,1.85328,,0.2,,0.07,,0.05,,,
New Gundam Breaker,,,E02758,,268.0,0.0,268.0,35.376000000000005,,4.598880000000001,,0.2,,0.07,,0.05,,,
One Piece Burning Blood,,,E01970,,268.0,0.0,268.0,35.376000000000005,,4.598880000000001,,0.2,,0.07,,0.05,,,
One Piece Burning Blood Gold Edition,,,E05642,,402.0,0.0,402.0,53.064,,6.89832,,0.2,,0.07,,0.05,,,
ONE PIECE ODYSSEY,,,E05083,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.07,,0.05,,,
ONE PIECE ODYSSEY Deluxe Edition,,,E05788,,428.0,0.0,428.0,56.496,,7.344480000000001,,0.2,,0.07,,0.05,,,
One Piece World Seeker,,,E03295,,268.0,0.0,268.0,35.376000000000005,,4.598880000000001,,0.2,,0.07,,0.05,,,
One Piece World Seeker Deluxe Edition,,,E03367,,328.0,0.0,328.0,43.296,,5.62848,,0.2,,0.07,,0.05,,,
ONE PIECE: PIRATE WARRIORS 4,,,E02973,,198.0,0.0,198.0,26.136000000000003,,3.3976800000000007,,0.2,,0.07,,0.05,,,
ONE PIECE: PIRATE WARRIORS 4 Deluxe Edition,,,E03825,,348.0,0.0,348.0,45.936,,5.97168,,0.2,,0.07,,0.05,,,
ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,,,E06098,,448.0,0.0,448.0,59.136,,7.68768,,0.2,,0.05,,0.05,,,
ONE PUNCH MAN: A HERO NOBODY KNOWS,,,E02997,,268.0,0.0,268.0,35.376000000000005,,4.598880000000001,,0.2,,0.07,,0.05,,,
Park Beyond,,,E04538,,128.0,0.0,128.0,16.896,,2.19648,,0.2,,0.07,,0.05,,,
SAND LAND,,,E06114,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.07,,0.05,,,
SAND LAND Deluxe Edition,,,E06272,,348.0,0.0,348.0,45.936,,5.97168,,0.2,,0.05,,0.05,,,
SCARLET NEXUS,,,E03557,,328.0,0.0,328.0,43.296,,5.62848,,0.2,,0.07,,0.05,,,
SCARLET NEXUS Deluxe,,,E04727,,398.0,0.0,398.0,52.536,,6.829680000000001,,0.2,,0.07,,0.05,,,
SCARLET NEXUS Ultimate Edition,,,E05643,,518.0,0.0,518.0,68.376,,8.88888,,0.2,,0.07,,0.05,,,
SD GUNDAM BATTLE ALLIANCE,,,E03559,,348.0,0.0,348.0,45.936,,5.97168,,0.2,,0.07,,0.05,,,
SD GUNDAM BATTLE ALLIANCE - Deluxe Edition,,,E05472,,498.0,0.0,498.0,65.736,,8.54568,,0.2,,0.07,,0.05,,,
SD GUNDAM G GENERATION CROSS RAY,,,E02985,,198.0,0.0,198.0,26.136000000000003,,3.3976800000000007,,0.2,,0.07,,0.05,,,
SD GUNDAM G GENERATION CROSS RAYS Platinum Edition,,,E06306,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.05,,0.05,,,
SOULCALIBUR VI,,,E02875,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.07,,0.05,,,
SOULCALIBUR VI Deluxe Edition,,,E03123,,448.0,0.0,448.0,59.136,,7.68768,,0.2,,0.07,,0.05,,,
SPY×ANYA: Operation Memories,,,E05697,,248.0,0.0,248.0,32.736000000000004,,4.255680000000001,,0.2,,0.07,,0.05,,,
SPY×ANYA: Operation Memories Deluxe Edition,,,E06533,,348.0,0.0,348.0,45.936,,5.97168,,0.2,,0.07,,0.05,,,
Super Robot Wars 30,,,E04508,,368.0,0.0,368.0,48.576,,6.3148800000000005,,0.2,,0.07,,0.05,,,
Super Robot Wars 30 Digital Deluxe Edition,,,E05097,,528.0,0.0,528.0,69.696,,9.06048,,0.2,,0.07,,0.05,,,
Super Robot Wars 30 Ultimate Edition,,,E05098,,678.0,0.0,678.0,89.49600000000001,,11.634480000000002,,0.2,,0.07,,0.05,,,
SUPER ROBOT WARS X,,,E03632,,248.0,0.0,248.0,32.736000000000004,,4.255680000000001,,0.2,,0.07,,0.05,,,
SWORD ART ONLINE Alicization Lycoris,,,E03060,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.07,,0.05,,,
SWORD ART ONLINE Alicization Lycoris Deluxe,,,E03954,,498.0,0.0,498.0,65.736,,8.54568,,0.2,,0.07,,0.05,,,
SWORD ART ONLINE Fractured Daydream,,,E06120,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.05,,0.05,,,
SWORD ART ONLINE Fractured Daydream Deluxe Edition,,,E06531,,428.0,0.0,428.0,56.496,,7.344480000000001,,0.2,,0.05,,0.05,,,
