Product Name,Item Number ,Sales Units,SK QTY,Heybox Qty,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP
Digimon Story Cyber Sleuth: Complete Edition,E05368,5275,278.0,4997.0,228,0.9,22.0,3.0670200000000003,16178.5305,0.39871260000000003,14075.321535000001,0.2,2815.0643070000006,0.05,703.7660767500001,0.05,703.7660767500001,1.87,9864.25,0.6097123592281759
Digimon Story Cyber Sleuth: Complete Edition,E05368,3,,3.0,228,0.0,228.0,31.78548,95.35643999999999,4.1321124000000005,82.9601028,0.2,16.59202056,0.05,4.14800514,0.05,4.14800514,19.36,58.08,0.6090831411071974
Digimon Survive,E05471,44,14.0,30.0,298,0.84,47.0,6.55227,288.29988000000003,0.8517951,250.82089559999997,0.2,50.16417912,0.05,12.54104478,0.05,12.54104478,3.99,175.56,0.6089492649112445
Digimon Survive,E05471,1,,1.0,298,0.0,298.0,41.544180000000004,41.544180000000004,5.4007434000000005,36.1434366,0.2,7.228687320000001,0.05,1.8071718300000001,0.05,1.8071718300000001,25.3,25.3,0.6089902364181938
Digimon World: Next Order,E04521,1529,6.0,1523.0,248,0.84,39.0,5.436990000000001,8313.157710000001,0.7068087000000001,7232.447207700001,0.2,1446.4894415400004,0.05,361.6223603850001,0.05,361.6223603850001,3.31,5060.99,0.6087927327436687
Digimon World: Next Order,E04521,1,,1.0,248,0.0,248.0,34.57368,34.57368,4.494578400000001,30.0791016,0.2,6.01582032,0.05,1.50395508,0.05,1.50395508,21.06,21.06,0.6091338845040504
DORAEMON STORY OF SEASONS,E03496,11,,11.0,228,0.6,91.0,12.68631,139.54941,1.6492203,121.40798670000001,0.2,24.281597340000005,0.05,6.070399335000001,0.05,6.070399335000001,7.73,85.03,0.6093182335919586
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,34,,34.0,248,0.45,136.0,18.95976,644.63184,2.4647688,560.8297008000001,0.2,112.16594016000002,0.05,28.041485040000005,0.05,28.041485040000005,11.55,392.70000000000005,0.6091849263914734
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,1,,1.0,248,0.0,248.0,34.57368,34.57368,4.494578400000001,30.0791016,0.2,6.01582032,0.05,1.50395508,0.05,1.50395508,21.06,21.06,0.6091338845040504
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,1,,1.0,348,0.0,348.0,48.514680000000006,48.514680000000006,6.306908400000001,42.2077716,0.2,8.44155432,0.05,2.11038858,0.05,2.11038858,29.55,29.55,0.60909398969549
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,35,,35.0,348,0.45,191.0,26.62731,931.95585,3.4615503000000003,810.8015895000001,0.2,162.16031790000002,0.05,40.540079475000006,0.05,40.540079475000006,16.22,567.6999999999999,0.6091490278214359
DRAGON BALL FighterZ,E02533,2239,1.0,2238.0,198,0.84,31.0,4.32171,9676.308690000002,0.5618223000000001,8418.3885603,0.2,1683.67771206,0.05,420.919428015,0.05,420.919428015,2.63,5888.57,0.608555409779925
DRAGON BALL FighterZ - FighterZ Edition,E02595,240,1.0,239.0,298,0.84,47.0,6.55227,1572.5448000000001,0.8517951,1368.1139759999999,0.2,273.6227952,0.05,68.4056988,0.05,68.4056988,3.99,957.6,0.6089492649112445
DRAGON BALL FighterZ - Legendary Edition,E02596,190,2.0,188.0,398,0.75,99.0,13.801590000000001,2622.3021000000003,1.7942067000000002,2281.4028270000003,0.2,456.2805654000001,0.05,114.07014135000003,0.05,114.07014135000003,8.41,1597.9,0.6093500821282185
DRAGON BALL XENOVERSE 2,E02035,5001,7.0,4994.0,98,0.7,29.0,4.04289,20218.492889999998,0.5255757,17590.088814299997,0.2,3518.0177628599995,0.05,879.5044407149999,0.05,879.5044407149999,2.46,12302.46,0.6084756201628043
DRAGON BALL XENOVERSE 2,E02035,5,,5.0,98,0.0,98.0,13.662180000000001,68.3109,1.7760834000000003,59.430483,0.2,11.886096600000002,0.05,2.9715241500000005,0.05,2.9715241500000005,8.32,41.6,0.608980411618058
DRAGON BALL XENOVERSE 2 Deluxe Edition,E02036,480,,480.0,198,0.6,79.0,11.013390000000001,5286.4272,1.4317407000000002,4599.191664,0.2,919.8383328,0.05,229.9595832,0.05,229.9595832,6.71,3220.8,0.6092583664067104
DRAGON BALL XENOVERSE 2 Special Edition,E06308,4,,4.0,248,0.0,248.0,34.57368,138.29472,4.494578400000001,120.3164064,0.2,24.06328128,0.05,6.01582032,0.05,6.01582032,21.06,84.24,0.6091338845040504
DRAGON BALL XENOVERSE 2 Special Edition,E06308,136,,136.0,248,0.5,124.0,17.28684,2351.01024,2.2472892000000004,2045.3789088,0.2,409.07578176000004,0.05,102.26894544000001,0.05,102.26894544000001,10.53,1432.08,0.6091338845040505
DRAGON BALL Z: KAKAROT,E03005,141,1.0,140.0,298,0.75,74.0,10.31634,1454.60394,1.3411242,1265.5054278000002,0.2,253.10108556000006,0.05,63.275271390000015,0.05,63.275271390000015,6.28,885.48,0.6087430232039658
DRAGON BALL Z: KAKAROT Deluxe Edition,E03730,84,1.0,83.0,398,0.77,91.0,12.68631,1065.65004,1.6492203,927.1155348000001,0.2,185.42310696000004,0.05,46.35577674000001,0.05,46.35577674000001,7.73,649.32,0.6093182335919586
DRAGON BALL Z: KAKAROT Deluxe Edition,E03730,1,,1.0,398,0.0,398.0,55.48518,55.48518,7.2130734,48.2721066,0.2,9.65442132,0.05,2.41360533,0.05,2.41360533,33.79,33.79,0.6089914460041402
DRAGON BALL Z: KAKAROT Legendary Edition,E06163,622,4.0,618.0,498,0.75,124.0,17.28684,10752.414480000001,2.2472892000000004,9354.6005976,0.2,1870.92011952,0.05,467.73002988,0.05,467.73002988,10.53,6549.66,0.6091338845040504
DRAGON BALL: Sparking! ZERO,E06127,161,,161.0,298,0.3,208.0,28.99728,4668.56208,3.7696464,4061.6490096,0.2,812.3298019200001,0.05,203.08245048000003,0.05,203.08245048000003,17.66,2843.26,0.6090226393647957
DRAGON BALL: Sparking! ZERO,E06127,494,,494.0,298,0.25,223.0,31.088430000000002,15357.684420000001,4.0414959,13361.1854454,0.2,2672.2370890800003,0.05,668.0592722700001,0.05,668.0592722700001,18.93,9351.42,0.6089082015399297
DRAGON BALL: Sparking! ZERO,E06127,70,,70.0,298,0.0,298.0,41.544180000000004,2908.0926000000004,5.4007434000000005,2530.040562,0.2,506.0081124000001,0.05,126.50202810000002,0.05,126.50202810000002,25.3,1771.0,0.6089902364181937
DRAGON BALL: Sparking! ZERO Deluxe Edition,E06634,17,,17.0,478,0.0,478.0,66.63798,1132.84566,8.6629374,985.5757242,0.2,197.11514484,0.05,49.27878621,0.05,49.27878621,40.58,689.86,0.6089620363642476
DRAGON BALL: Sparking! ZERO Deluxe Edition,E06634,5,,5.0,478,0.2,382.0,53.25462,266.2731,6.923100600000001,231.657597,0.2,46.331519400000005,0.05,11.582879850000001,0.05,11.582879850000001,32.43,162.15,0.608961250685856
DRAGON BALL: Sparking! ZERO Deluxe Edition,E06634,74,,74.0,478,0.3,334.0,46.562940000000005,3445.6575600000006,6.053182200000001,2997.7220772,0.2,599.5444154400001,0.05,149.88610386000002,0.05,149.88610386000002,28.36,2098.64,0.6090680700144792
DRAGON BALL: Sparking! ZERO Ultimate Edition,E06655,18,,18.0,538,0.0,538.0,75.00258000000001,1350.04644,9.7503354,1174.5404028000003,0.2,234.90808056000006,0.05,58.727020140000015,0.05,58.727020140000015,45.68,822.24,0.6090457154940536
DRAGON BALL: Sparking! ZERO Ultimate Edition,E06655,89,,89.0,538,0.2,430.0,59.9463,5335.2207,7.793019,4641.642009,0.2,928.3284018,0.05,232.08210045,0.05,232.08210045,36.51,3249.39,0.6090450953603475
DRAGON BALL: THE BREAKERS,E05011,48,,48.0,98,0.75,24.0,3.34584,160.60032,0.4349592,139.7222784,0.2,27.94445568,0.05,6.98611392,0.05,6.98611392,2.04,97.92,0.6097123592281759
DRAGON BALL: THE BREAKERS Special Edition,E05644,11,,11.0,148,0.75,37.0,5.15817,56.73987,0.6705621,49.363686900000005,0.2,9.872737380000002,0.05,2.4681843450000005,0.05,2.4681843450000005,3.14,34.54,0.6087430232039657
GOD EATER 2 Rage Burst,E05369,1809,2.0,1807.0,268,0.9,26.0,3.62466,6557.00994,0.4712058,5704.5986478,0.2,1140.9197295600002,0.05,285.22993239000004,0.05,285.22993239000004,2.21,3997.89,0.6097123592281759
GOD EATER 3,E03177,2000,1.0,1999.0,268,0.9,26.0,3.62466,7249.32,0.4712058,6306.9084,0.2,1261.3816800000002,0.05,315.34542000000005,0.05,315.34542000000005,2.21,4420.0,0.6097123592281759
GOD EATER 3,E03177,1,,1.0,268,0.0,268.0,37.36188,37.36188,4.8570444,32.5048356,0.2,6.50096712,0.05,1.62524178,0.05,1.62524178,22.75,22.75,0.6089094017752854
GUNDAM BREAKER 4,E04524,1,,1.0,298,0.0,298.0,41.544180000000004,41.544180000000004,5.4007434000000005,36.1434366,0.2,7.228687320000001,0.05,1.8071718300000001,0.05,1.8071718300000001,25.3,25.3,0.6089902364181938
GUNDAM BREAKER 4,E04524,55,,55.0,298,0.34,196.0,27.324360000000002,1502.8398000000002,3.5521668000000006,1307.470626,0.2,261.49412520000004,0.05,65.37353130000001,0.05,65.37353130000001,16.64,915.2,0.6089804116180579
GUNDAM BREAKER 4 Deluxe Edition,E06529,6,,6.0,448,0.34,295.0,41.12595,246.75570000000002,5.3463735,214.67745900000003,0.2,42.93549180000001,0.05,10.733872950000002,0.05,10.733872950000002,25.05,150.3,0.6091044705350271
GUNDAM BREAKER 4 Ultimate Edition,E06530,14,,14.0,498,0.35,323.0,45.029430000000005,630.4120200000001,5.853825900000001,548.4584574,0.2,109.69169148000002,0.05,27.422922870000004,0.05,27.422922870000004,27.42,383.88,0.6089350897846141
JoJo's Bizarre Adventure: All-Star Battle R,E03528,87,87.0,,248,0.8,49.0,6.8310900000000006,594.30483,0.8880417000000002,517.0452021,0.2,103.40904042,0.05,25.852260105,0.05,25.852260105,4.16,361.92,0.608980411618058
JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,E05524,8,8.0,,348,0.72,97.0,13.522770000000001,108.18216000000001,1.7579601000000002,94.11847920000001,0.2,18.823695840000003,0.05,4.705923960000001,0.05,4.705923960000001,8.24,65.92,0.6093426124972916
Jujutsu Kaisen Cursed Clash,E05703,1,,1.0,298,0.5,149.0,20.772090000000002,20.772090000000002,2.7003717000000003,18.0717183,0.2,3.6143436600000003,0.05,0.9035859150000001,0.05,0.9035859150000001,12.65,12.65,0.6089902364181938
Jujutsu Kaisen Cursed Clash Deluxe Edition,E06213,1,,1.0,398,0.5,199.0,27.74259,27.74259,3.6065367,24.1360533,0.2,4.82721066,0.05,1.206802665,0.05,1.206802665,16.9,16.9,0.6091716743101491
Jujutsu Kaisen Cursed Clash Ultimate Edition,E06212,2,1.0,1.0,498,0.5,249.0,34.71309,69.42618,4.5127017,60.4007766,0.2,12.080155320000001,0.05,3.0200388300000003,0.05,3.0200388300000003,21.14,42.28,0.6089921698125981
Klonoa Phantasy Reverie Series,E04522,7,,7.0,198,0.75,49.0,6.8310900000000006,47.81763,0.8880417000000002,41.6013381,0.2,8.320267620000001,0.05,2.0800669050000002,0.05,2.0800669050000002,4.16,29.12,0.608980411618058
MOBILE SUIT GUNDAM SEED BATTLE DESTINY REMASTERED,E06942,67,,67.0,198,0.0,198.0,27.603180000000002,1849.41306,3.5884134000000003,1608.9893622000002,0.2,321.79787244000005,0.05,80.44946811000001,0.05,80.44946811000001,16.81,1126.27,0.6089878050282612
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,E05373,256,1.0,255.0,108,0.75,27.0,3.7640700000000002,963.6019200000001,0.4893291000000001,838.3336704000001,0.2,167.66673408000003,0.05,41.91668352000001,0.05,41.91668352000001,2.29,586.24,0.6083840098616656
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,E01592,4380,9.0,4371.0,98,0.6,39.0,5.436990000000001,23814.016200000002,0.7068087000000001,20718.194094000002,0.2,4143.638818800001,0.05,1035.9097047000002,0.05,1035.9097047000002,3.31,14497.800000000001,0.6087927327436689
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,E01592,40,,40.0,98,0.0,98.0,13.662180000000001,546.4872,1.7760834000000003,475.443864,0.2,95.08877280000002,0.05,23.772193200000004,0.05,23.772193200000004,8.32,332.8,0.608980411618058
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,10,4.0,6.0,360,0.6,144.0,20.07504,200.7504,2.6097552000000004,174.652848,0.2,34.930569600000005,0.05,8.732642400000001,0.05,8.732642400000001,12.23,122.30000000000001,0.6092142282157346
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,19,,19.0,360,0.704,106.0,14.777460000000001,280.77174,1.9210698000000002,244.27141380000003,0.2,48.85428276000001,0.05,12.213570690000003,0.05,12.213570690000003,9.0,171.0,0.6090356529471235
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,22,,22.0,360,0.63,133.0,18.54153,407.91366000000005,2.4103989,354.88488420000004,0.2,70.97697684,0.05,17.74424421,0.05,17.74424421,11.29,248.38,0.6089033645012034
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,11,7.0,4.0,684,0.63,253.0,35.27073,387.97803,4.5851949,337.54088609999997,0.2,67.50817722,0.05,16.877044305,0.05,16.877044305,21.48,236.28,0.6090035562065202
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,16,,16.0,684,0.7467,173.0,24.11793,385.88688,3.1353309000000005,335.7215856,0.2,67.14431712000001,0.05,16.786079280000003,0.05,16.786079280000003,14.69,235.04,0.6090904153051278
