Customer,Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP
Heybox,DEATH NOTE Killer Within,E06643,75,48.0,0.5,24.0,3.51,263.25,0.4563,229.02749999999997,0.2,45.805499999999995,0.05,11.451374999999999,0.05,11.451374999999999,2.14,160.5,0.6096866096866097
Heybox,DEATH NOTE Killer Within Special Edition,E06646,2,98.0,0.0,98.0,14.3325,28.665,1.863225,24.93855,0.2,4.98771,0.05,1.2469275,0.05,1.2469275,8.73,17.46,0.609105180533752
Heybox,DEATH NOTE Killer Within Special Edition,E06646,12,98.0,0.5,49.0,7.16625,85.995,0.9316125,74.81565,0.2,14.963130000000001,0.05,3.7407825000000003,0.05,3.7407825000000003,4.36,52.32000000000001,0.6084074655503228
Heybox,Digimon Story Cyber Sleuth: Complete Edition,E05368,74,228.0,0.9,22.0,3.2175,238.095,0.418275,207.14265,0.2,41.42853,0.05,10.3571325,0.05,10.3571325,1.96,145.04,0.6091686091686092
Heybox,Digimon Story Time Stranger,E03053,3,298.0,0.0,298.0,43.582499999999996,130.7475,5.665724999999999,113.75032499999998,0.2,22.750064999999996,0.05,5.687516249999999,0.05,5.687516249999999,26.54,79.62,0.6089600183559916
Heybox,Digimon Story Time Stranger,E03053,186,298.0,0.3,208.0,30.419999999999998,5658.12,3.9546,4922.5644,0.2,984.5128800000001,0.05,246.12822000000003,0.05,246.12822000000003,18.53,3446.5800000000004,0.60913872452334
Heybox,Digimon Story Time Stranger Deluxe Edition,L00115,5,448.0,0.0,448.0,65.52,327.59999999999997,8.5176,285.01199999999994,0.2,57.002399999999994,0.05,14.250599999999999,0.05,14.250599999999999,39.9,199.5,0.608974358974359
Heybox,Digimon Story Time Stranger Deluxe Edition,L00115,41,448.0,0.25,336.0,49.14,2014.74,6.3882,1752.8238000000001,0.2,350.56476000000004,0.05,87.64119000000001,0.05,87.64119000000001,29.93,1227.1299999999999,0.609076109076109
Heybox,Digimon Story Time Stranger Ultimate Edition,L00116,3,548.0,0.0,548.0,80.145,240.435,10.418849999999999,209.17844999999997,0.2,41.83569,0.05,10.4589225,0.05,10.4589225,48.81,146.43,0.6090211491671346
Heybox,Digimon Story Time Stranger Ultimate Edition,L00116,90,548.0,0.25,411.0,60.10874999999999,5409.787499999999,7.814137499999999,4706.515124999999,0.2,941.3030249999998,0.05,235.32575624999996,0.05,235.32575624999996,36.61,3294.9,0.6090627404496018
Heybox,Digimon Survive,E05471,24,298.0,0.84,47.0,6.873749999999999,164.96999999999997,0.8935875,143.5239,0.2,28.70478,0.05,7.176195,0.05,7.176195,4.19,100.56,0.6095653755228224
Heybox,Digimon World: Next Order,E04521,25,248.0,0.84,39.0,5.703749999999999,142.59375,0.7414875,124.05656249999998,0.2,24.8113125,0.05,6.202828125,0.05,6.202828125,3.47,86.75,0.6083716852947623
Heybox,DORAEMON STORY OF SEASONS,E03496,9,228.0,0.6,91.0,13.30875,119.77875,1.7301375,104.2075125,0.2,20.841502500000004,0.05,5.210375625000001,0.05,5.210375625000001,8.11,72.99,0.6093735324504554
Heybox,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,18,248.0,0.5,124.0,18.134999999999998,326.42999999999995,2.35755,283.99409999999995,0.2,56.79881999999999,0.05,14.199704999999998,0.05,14.199704999999998,11.04,198.71999999999997,0.608767576509512
Heybox,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,1,348.0,0.0,348.0,50.894999999999996,50.894999999999996,6.61635,44.27865,0.2,8.85573,0.05,2.2139325,0.05,2.2139325,31.0,31.0,0.6090971608212988
Heybox,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,11,348.0,0.5,174.0,25.447499999999998,279.92249999999996,3.308175,243.532575,0.2,48.706515,0.05,12.17662875,0.05,12.17662875,15.5,170.5,0.6090971608212988
Heybox,DRAGON BALL FighterZ,E02533,143,198.0,0.84,31.0,4.5337499999999995,648.32625,0.5893875,564.0438374999999,0.2,112.80876749999999,0.05,28.202191874999997,0.05,28.202191874999997,2.76,394.67999999999995,0.608767576509512
Heybox,DRAGON BALL FighterZ - FighterZ Edition,E02595,1,298.0,0.0,298.0,43.582499999999996,43.582499999999996,5.665724999999999,37.916774999999994,0.2,7.583354999999999,0.05,1.8958387499999998,0.05,1.8958387499999998,26.54,26.54,0.6089600183559916
Heybox,DRAGON BALL FighterZ - FighterZ Edition,E02595,113,298.0,0.84,47.0,6.873749999999999,776.7337499999999,0.8935875,675.7583625,0.2,135.1516725,0.05,33.787918125,0.05,33.787918125,4.19,473.47,0.6095653755228224
Heybox,DRAGON BALL FighterZ - Legendary Edition,E02596,284,398.0,0.75,99.0,14.47875,4111.965,1.8822375,3577.40955,0.2,715.48191,0.05,178.8704775,0.05,178.8704775,8.82,2504.88,0.6091686091686092
Heybox,DRAGON BALL XENOVERSE 2,E02035,557,98.0,0.7,29.0,4.24125,2362.37625,0.5513625,2055.2673375,0.2,411.0534675,0.05,102.763366875,0.05,102.763366875,2.58,1437.06,0.6083112290008842
Heybox,DRAGON BALL XENOVERSE 2 Deluxe Edition,E02036,6,198.0,0.0,198.0,28.9575,173.745,3.764475,151.15814999999998,0.2,30.231629999999996,0.05,7.557907499999999,0.05,7.557907499999999,17.64,105.84,0.6091686091686092
Heybox,DRAGON BALL XENOVERSE 2 Deluxe Edition,E02036,73,198.0,0.75,49.0,7.16625,523.13625,0.9316125,455.1285375,0.2,91.02570750000001,0.05,22.756426875000002,0.05,22.756426875000002,4.36,318.28000000000003,0.6084074655503228
Heybox,DRAGON BALL XENOVERSE 2 Special Edition,E06308,9,248.0,0.0,248.0,36.269999999999996,326.42999999999995,4.7151,283.99409999999995,0.2,56.79881999999999,0.05,14.199704999999998,0.05,14.199704999999998,22.09,198.81,0.6090432864626414
Heybox,DRAGON BALL XENOVERSE 2 Special Edition,E06308,90,248.0,0.6,99.0,14.47875,1303.0875,1.8822375,1133.686125,0.2,226.737225,0.05,56.68430625,0.05,56.68430625,8.82,793.8000000000001,0.6091686091686092
Heybox,DRAGON BALL Z: KAKAROT,E03005,12,88.0,0.0,88.0,12.87,154.44,1.6731,134.3628,0.2,26.87256,0.05,6.71814,0.05,6.71814,7.84,94.08,0.6091686091686092
Heybox,DRAGON BALL Z: KAKAROT,E03005,648,88.0,0.25,66.0,9.6525,6254.82,1.254825,5441.6934,0.2,1088.33868,0.05,272.08467,0.05,272.08467,5.88,3810.24,0.6091686091686092
Heybox,DRAGON BALL Z: KAKAROT - DAIMA EDITION,L00113,1,198.0,0.0,198.0,28.9575,28.9575,3.764475,25.193025,0.2,5.0386050000000004,0.05,1.2596512500000001,0.05,1.2596512500000001,17.64,17.64,0.6091686091686092
Heybox,DRAGON BALL Z: KAKAROT - DAIMA EDITION,L00113,21,198.0,0.3,138.0,20.182499999999997,423.8324999999999,2.623725,368.7342749999999,0.2,73.74685499999998,0.05,18.436713749999996,0.05,18.436713749999996,12.29,258.09,0.6089433915520872
Heybox,DRAGON BALL Z: KAKAROT - DAIMA EDITION,L00113,22,198.0,0.4,118.0,17.2575,379.665,2.243475,330.30855,0.2,66.06171,0.05,16.5154275,0.05,16.5154275,10.51,231.22,0.60901057511227
Heybox,DRAGON BALL Z : KAKAROT - MASTER EDITION,L00114,2,398.0,0.0,398.0,58.207499999999996,116.41499999999999,7.566974999999999,101.28105,0.2,20.25621,0.05,5.0640525,0.05,5.0640525,35.45,70.9,0.609028046213976
Heybox,DRAGON BALL Z : KAKAROT - MASTER EDITION,L00114,112,398.0,0.35,258.0,37.732499999999995,4226.039999999999,4.905225,3676.6547999999993,0.2,735.3309599999999,0.05,183.83273999999997,0.05,183.83273999999997,22.98,2573.76,0.6090240508845162
Heybox,DRAGON BALL Z : KAKAROT - MASTER EDITION,L00114,90,398.0,0.4,238.0,34.8075,3132.6749999999997,4.5249749999999995,2725.42725,0.2,545.08545,0.05,136.2713625,0.05,136.2713625,21.2,1908.0,0.6090641384759032
Heybox,DRAGON BALL: Sparking! ZERO,E06127,5,298.0,0.0,298.0,43.582499999999996,217.91249999999997,5.665724999999999,189.58387499999998,0.2,37.916774999999994,0.05,9.479193749999999,0.05,9.479193749999999,26.54,132.7,0.6089600183559916
Heybox,DRAGON BALL: Sparking! ZERO,E06127,753,298.0,0.5,149.0,21.791249999999998,16408.81125,2.8328624999999996,14275.665787499998,0.2,2855.1331575,0.05,713.783289375,0.05,713.783289375,13.27,9992.31,0.6089600183559916
Heybox,DRAGON BALL: Sparking! ZERO Deluxe Edition,E06634,1,478.0,0.0,478.0,69.9075,69.9075,9.087975,60.819525,0.2,12.163905,0.05,3.04097625,0.05,3.04097625,42.57,42.57,0.6089475378178307
Heybox,DRAGON BALL: Sparking! ZERO Deluxe Edition,E06634,53,478.0,0.5,239.0,34.95375,1852.54875,4.5439875,1611.7174125,0.2,322.3434825,0.05,80.585870625,0.05,80.585870625,21.29,1128.37,0.6090905839859815
Heybox,DRAGON BALL: Sparking! ZERO Ultimate Edition,E06655,1,538.0,0.0,538.0,78.68249999999999,78.68249999999999,10.228724999999999,68.453775,0.2,13.690755,0.05,3.42268875,0.05,3.42268875,47.92,47.92,0.6090299621898135
Heybox,DRAGON BALL: Sparking! ZERO Ultimate Edition,E06655,374,538.0,0.5,269.0,39.341249999999995,14713.627499999999,5.1143624999999995,12800.855924999998,0.2,2560.1711849999997,0.05,640.0427962499999,0.05,640.0427962499999,23.96,8961.04,0.6090299621898136
Heybox,DRAGON BALL: THE BREAKERS,E05011,34,98.0,0.75,24.0,3.51,119.33999999999999,0.4563,103.82579999999999,0.2,20.765159999999998,0.05,5.1912899999999995,0.05,5.1912899999999995,2.14,72.76,0.6096866096866098
