Product Name,Unnamed: 1,Unnamed: 2,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),"Payment Amount
(USD)",Disti Cost % from SRP
One Piece Burning Blood Gold Edition,,,E05642,,402.0,0.0,402.0,53.064,0.0,6.89832,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
ONE PIECE ODYSSEY,,,E05083,,298.0,0.0,298.0,39.336,0.0,5.11368,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
ONE PIECE ODYSSEY Deluxe Edition,,,E05788,,428.0,0.0,428.0,56.496,0.0,7.344480000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
One Piece World Seeker,,,E03295,,268.0,0.0,268.0,35.376000000000005,0.0,4.598880000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
One Piece World Seeker Deluxe Edition,,,E03367,,328.0,0.0,328.0,43.296,0.0,5.62848,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
ONE PIECE: PIRATE WARRIORS 4,,,E02973,,198.0,0.0,198.0,26.136000000000003,0.0,3.3976800000000007,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
ONE PIECE: PIRATE WARRIORS 4 Deluxe Edition,,,E03825,,348.0,0.0,348.0,45.936,0.0,5.97168,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,,,E06098,,448.0,0.0,448.0,59.136,0.0,7.68768,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
ONE PUNCH MAN: A HERO NOBODY KNOWS,,,E02997,,268.0,0.0,268.0,35.376000000000005,0.0,4.598880000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Park Beyond,,,E04538,,128.0,0.0,128.0,16.896,0.0,2.19648,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SAND LAND,,,E06114,,298.0,0.0,298.0,39.336,0.0,5.11368,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
