Product Name,Item Number,Normalized Name
PAC-MAN Mega Tunnel Battle: Chomp Champs,E06649,pac_man_mega_tunnel_battle_chomp_champs
PAC-MAN Mega Tunnel Battle: Chomp Champs - Deluxe Edition,E06652,pac_man_mega_tunnel_battle_chomp_champs_deluxe_edition
PAC-MAN WORLD 2 Re-PAC,E06971,pac_man_world_2_re_pac
PAC-MAN WORLD 2 Re-PAC Deluxe Edition,L00118,pac_man_world_2_re_pac_deluxe_edition
PATAPON 1+2 REPLAY,E06134,patapon_1_2_replay
Park Beyond,E04538,park_beyond
Pre-Purchase Little Nightmares III Deluxe Edition Pre-Order,L00119,pre_purchase_little_nightmares_iii_deluxe_edition_pre_order
Pre-Purchase Little Nightmares III Pre-Order,E05707,pre_purchase_little_nightmares_iii_pre_order
SAND LAND,E06114,sand_land
SAND LAND Deluxe Edition,E06272,sand_land_deluxe_edition
SCARLET NEXUS,E03557,scarlet_nexus
SCARLET NEXUS Deluxe,E04727,scarlet_nexus_deluxe
SCARLET NEXUS Deluxe Edition,E04727,scarlet_nexus_deluxe_edition
SCARLET NEXUS Ultimate Edition,E05643,scarlet_nexus_ultimate_edition
SD GUNDAM BATTLE ALLIANCE,E03559,sd_gundam_battle_alliance
SD GUNDAM BATTLE ALLIANCE - Deluxe Edition,E05472,sd_gundam_battle_alliance_deluxe_edition
SD GUNDAM G GENERATION CROSS RAY,E02985,sd_gundam_g_generation_cross_ray
SD GUNDAM G GENERATION CROSS RAY Platinum Edition,E06306,sd_gundam_g_generation_cross_ray_platinum_edition
SD GUNDAM G GENERATION CROSS RAYS,E02985,sd_gundam_g_generation_cross_rays
SD GUNDAM G GENERATION CROSS RAYS Platinum Edition,E06306,sd_gundam_g_generation_cross_rays_platinum_edition
SOULCALIBUR VI,E02875,soulcalibur_vi
SOULCALIBUR VI Deluxe Edition,E03123,soulcalibur_vi_deluxe_edition
SPY×ANYA: Operation Memories,E05697,spy_anya_operation_memories
SPY×ANYA: Operation Memories Deluxe Edition,E06533,spy_anya_operation_memories_deluxe_edition
SUPER ROBOT WARS X,E03632,super_robot_wars_x
SUPER ROBOT WARS Y,L00033,super_robot_wars_y
SUPER ROBOT WARS Y Deluxe Edition,L00034,super_robot_wars_y_deluxe_edition
SUPER ROBOT WARS Y Ultimate Edition,L00035,super_robot_wars_y_ultimate_edition
SWORD ART ONLINE Alicization Lycoris,E03060,sword_art_online_alicization_lycoris
SWORD ART ONLINE Alicization Lycoris Deluxe,E03954,sword_art_online_alicization_lycoris_deluxe
SWORD ART ONLINE Alicization Lycoris Deluxe Edition,E03954,sword_art_online_alicization_lycoris_deluxe_edition
SWORD ART ONLINE Fractured Daydream,E06120,sword_art_online_fractured_daydream
SWORD ART ONLINE Fractured Daydream Deluxe Edition,E06531,sword_art_online_fractured_daydream_deluxe_edition
SWORD ART ONLINE Fractured Daydream Premium Edition,E06532,sword_art_online_fractured_daydream_premium_edition
SWORD ART ONLINE Last Recollection,E05687,sword_art_online_last_recollection
SWORD ART ONLINE Last Recollection Deluxe Edition,E06096,sword_art_online_last_recollection_deluxe_edition
SYNDUALITY Echo of Ada,E05693,synduality_echo_of_ada
SYNDUALITY Echo of Ada Deluxe Edition,E06636,synduality_echo_of_ada_deluxe_edition
SYNDUALITY Echo of Ada Ultimate Edition,E06637,synduality_echo_of_ada_ultimate_edition
Shadow Labyrinth,E06972,shadow_labyrinth
Shadow Labyrinth - Deluxe Edition,L00032,shadow_labyrinth_deluxe_edition
Super Robot Wars 30,E04508,super_robot_wars_30
Super Robot Wars 30 Deluxe Edition,E05097,super_robot_wars_30_deluxe_edition
Super Robot Wars 30 Digital Deluxe Edition,E05097,super_robot_wars_30_digital_deluxe_edition
Super Robot Wars 30 Ultimate Edition,E05098,super_robot_wars_30_ultimate_edition
Sword Art Online: Fatal Bullet,E02540,sword_art_online_fatal_bullet
Sword Art Online: Fatal Bullet - Complete Edition,E03322,sword_art_online_fatal_bullet_complete_edition
Sword Art Online: Hollow Realization Deluxe Edition,E02310,sword_art_online_hollow_realization_deluxe_edition
Sword Art Online: Lost Song,E05372,sword_art_online_lost_song
TEKKEN 7,E02278,tekken_7
TEKKEN 7 - Originals Edition,E05647,tekken_7_originals_edition
TEKKEN 8,E05700,tekken_8
TEKKEN 8 - Ultimate Edition,E06227,tekken_8_ultimate_edition
TEKKEN 8 Advanced Edition,L00129,tekken_8_advanced_edition
TEKKEN 8 Deluxe Edition,E06226,tekken_8_deluxe_edition
TEKKEN 8 Season 2 Deluxe Edition,L00111,tekken_8_season_2_deluxe_edition
TEKKEN 8 Season 2 Ultimate Edition,L00112,tekken_8_season_2_ultimate_edition
THE IDOLM@STER STARLIT SEASON,E03045,the_idolm_ster_starlit_season
THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,E05096,the_idolm_ster_starlit_season_digital_deluxe_edition
THE IDOLMASTER STARLIT SEASON,E03045,the_idolmaster_starlit_season
THE IDOLMASTER STARLIT SEASON Deluxe Edition,E05096,the_idolmaster_starlit_season_deluxe_edition
Taiko no Tatsujin: Rhythm Festival,E06129,taiko_no_tatsujin_rhythm_festival
Taiko no Tatsujin: Rhythm Festival The Setlist Edition,E06635,taiko_no_tatsujin_rhythm_festival_the_setlist_edition
Tales of Arise,E03024,tales_of_arise
Tales of Arise - Beyond the Dawn Deluxe Edition,E06161,tales_of_arise_beyond_the_dawn_deluxe_edition
Tales of Arise - Beyond the Dawn Edition,E06160,tales_of_arise_beyond_the_dawn_edition
Tales of Arise - Beyond the Dawn Expansion,E06168,tales_of_arise_beyond_the_dawn_expansion
Tales of Arise - Beyond the Dawn Ultimate Edition,E06162,tales_of_arise_beyond_the_dawn_ultimate_edition
Tales of Berseria,E02174,tales_of_berseria
Tales of Berseria Remastered,L00438,tales_of_berseria_remastered
Tales of Berseria Remastered Deluxe Edition,L00439,tales_of_berseria_remastered_deluxe_edition
Tales of Graces f Remastered,E06381,tales_of_graces_f_remastered
Tales of Graces f Remastered Deluxe Edition,E06689,tales_of_graces_f_remastered_deluxe_edition
Tales of Vesperia: Definitive Edition,E03191,tales_of_vesperia_definitive_edition
Tales of Xillia Remastered,E06124,tales_of_xillia_remastered
Tales of Xillia Remastered Deluxe Edition,L00231,tales_of_xillia_remastered_deluxe_edition
Tales of Zestiria,E01607,tales_of_zestiria
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,E03566,that_time_i_got_reincarnated_as_a_slime_isekai_chronicles
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Deluxe Edition,E06534,that_time_i_got_reincarnated_as_a_slime_isekai_chronicles_deluxe_edition
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,E06534,that_time_i_got_reincarnated_as_a_slime_isekai_chronicles_digital_deluxe_edition
Towa and the Guardians of the Sacred Tree,E06936,towa_and_the_guardians_of_the_sacred_tree
Towa and the Guardians of the Sacred Tree Deluxe Edition,L00117,towa_and_the_guardians_of_the_sacred_tree_deluxe_edition
We Love Katamari REROLL+ Royal Reverie,E05071,we_love_katamari_reroll_royal_reverie
We Love Katamari REROLL+ Royal Reverie Special Edition,E06305,we_love_katamari_reroll_royal_reverie_special_edition
