Product Name,Normalized Name,Customer,Promo Discount,paxCode,Customer Reference,start_month,end_month
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,Sonkwo,0.5,PAX0009513030,E02323,2026-02,2026-02
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,Sonkwo,0.5,PAX0009513030,E02323,2026-04,2026-04
DARK SOULS: REMASTERED,dark_souls_remastered,All,0.5,PAX0009575522,E02716,2024-11,2025-03
DARK SOULS: REMASTERED,dark_souls_remastered,All,0.5,PAX0009575522,E02716,2025-05,2025-05
DARK SOULS: REMASTERED,dark_souls_remastered,Heybox,0.5,PAX0009575522,E02716,2025-09,2025-09
DARK SOULS: REMASTERED,dark_souls_remastered,Heybox,0.5,PAX0009575522,E02716,2025-11,2025-12
DARK SOULS: REMASTERED,dark_souls_remastered,Heybox,0.5,PAX0009575522,E02716,2026-02,2026-02
DARK SOULS: REMASTERED,dark_souls_remastered,Heybox,0.5,PAX0009575522,E02716,2026-04,2026-04
DARK SOULS: REMASTERED,dark_souls_remastered,Sonkwo,0.5,PAX0009575522,E02716,2025-09,2025-10
DARK SOULS: REMASTERED,dark_souls_remastered,Sonkwo,0.5,PAX0009575522,E02716,2026-02,2026-02
