Product Name,Item Number,SRP (CNY),start_month,end_month
Sword Art Online: Fatal Bullet - Complete Edition,E03322,301.5,2024-12,2024-12
Sword Art Online: Fatal Bullet - Complete Edition,E03322,450.0,2025-01,2025-02
Sword Art Online: Fatal Bullet - Complete Edition,E03322,301.5,2025-03,2025-03
Sword Art Online: Fatal Bullet - Complete Edition,E03322,450.0,2025-05,2025-06
Sword Art Online: Fatal Bullet - Complete Edition,E03322,301.5,2025-07,2026-03
Sword Art Online: Fatal Bullet - Complete Edition,E03322,146.0,2026-04,2026-04
Sword Art Online: Fatal Bullet Complete Edition,E03322,301.5,2024-08,2024-10
Sword Art Online: Fatal Bullet Complete Edition,E03322,302.0,2025-10,2025-11
Sword Art Online: Fatal Bullet Complete Edition,E03322,301.5,2025-12,2025-12
Sword Art Online: Fatal Bullet Complete Edition,E03322,302.0,2026-02,2026-04
Sword Art Online: Hollow Realization Deluxe Edition,E02310,278.0,2024-08,2025-01
Sword Art Online: Hollow Realization Deluxe Edition,E02310,278.0,2025-03,2026-04
Sword Art Online: Lost Song,E05372,88.0,2024-08,2026-04
TEKKEN 7,E02278,198.0,2024-08,2026-04
TEKKEN 7 - Originals Edition,E05647,398.0,2024-08,2026-04
TEKKEN 8,E05700,348.0,2024-08,2025-05
TEKKEN 8,E05700,248.0,2025-06,2026-03
TEKKEN 8,E05700,168.0,2026-04,2026-04
TEKKEN 8 - Advanced Edition,L00129,298.0,2026-01,2026-01
TEKKEN 8 - Advanced Edition,L00129,298.0,2026-03,2026-03
TEKKEN 8 - Deluxe Edition,E06226,498.0,2024-12,2025-05
TEKKEN 8 - Deluxe Edition,E06227,498.0,2024-12,2025-02
TEKKEN 8 - Ultimate Edition,E06227,548.0,2024-12,2025-05
TEKKEN 8 - Ultimate Edition,E06227,548.0,2025-07,2026-04
TEKKEN 8 - Ultimate Edition,E06534,548.0,2025-02,2025-02
TEKKEN 8 Advanced Edition,L00129,298.0,2025-12,2026-03
TEKKEN 8 Advanced Edition,L00129,198.0,2026-04,2026-04
TEKKEN 8 Deluxe Edition,E06226,498.0,2024-08,2024-10
TEKKEN 8 Deluxe Edition,E06226,498.0,2025-07,2026-04
TEKKEN 8 Season 2 Deluxe Edition,L00111,398.0,2025-12,2026-03
TEKKEN 8 Season 2 Deluxe Edition,L00111,348.0,2026-04,2026-04
TEKKEN 8 Season 2 Ultimate Edition,L00112,448.0,2025-12,2026-04
TEKKEN 8 Ultimate Edition,E06227,548.0,2024-08,2024-10
THE IDOLM@STER STARLIT SEASON,E03045,348.0,2024-10,2026-04
THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,E05096,498.0,2024-10,2026-04
THE IDOLMASTER STARLIT SEASON,E03045,348.0,2024-08,2024-09
THE IDOLMASTER STARLIT SEASON,E03045,348.0,2025-12,2025-12
THE IDOLMASTER STARLIT SEASON,E03045,348.0,2026-04,2026-04
THE IDOLMASTER STARLIT SEASON Deluxe Edition,E05096,498.0,2024-08,2024-09
THE IDOLMASTER STARLIT SEASON Deluxe Edition,E05096,498.0,2025-12,2025-12
THE IDOLMASTER STARLIT SEASON Deluxe Edition,E05096,498.0,2026-04,2026-04
Taiko no Tatsujin: Rhythm Festival,E06129,248.0,2024-12,2026-04
Taiko no Tatsujin: Rhythm Festival The Setlist Edition,E06635,348.0,2024-12,2026-04
Tales of Arise,E03024,198.0,2024-08,2026-04
Tales of Arise - Beyond the Dawn Deluxe Edition,E06161,398.0,2024-08,2026-04
Tales of Arise - Beyond the Dawn Edition,E06160,298.0,2024-08,2026-01
Tales of Arise - Beyond the Dawn Edition,E06160,168.0,2026-02,2026-04
Tales of Arise - Beyond the Dawn Expansion,E06168,178.0,2024-08,2026-04
Tales of Arise - Beyond the Dawn Ultimate Edition,E06162,498.0,2024-11,2026-04
Tales of Arise - Beyond the Dawn Ultimate Edition,E06168,498.0,2024-08,2024-10
Tales of Berseria,E02174,268.0,2024-08,2025-01
Tales of Berseria,E02174,268.0,2025-04,2025-04
Tales of Berseria,E02174,268.0,2025-06,2026-04
Tales of Berseria Remastered,L00438,198.0,2026-02,2026-04
Tales of Berseria Remastered Deluxe Edition,L00439,298.0,2026-02,2026-04
Tales of Graces f Remastered,E06381,198.0,2025-01,2026-04
Tales of Graces f Remastered Deluxe Edition,E06689,298.0,2025-01,2025-04
Tales of Graces f Remastered Deluxe Edition,E06689,298.0,2025-07,2026-04
Tales of Vesperia: Definitive Edition,E03191,258.0,2024-12,2026-04
Tales of Vesperia™: Definitive Edition,E03191,258.0,2024-08,2024-10
Tales of Vesperia™: Definitive Edition,E03191,258.0,2025-10,2026-02
Tales of Vesperia™: Definitive Edition,E03191,258.0,2026-04,2026-04
Tales of Xillia Remastered,E06124,198.0,2025-12,2026-04
Tales of Xillia Remastered Deluxe Edition,L00231,298.0,2025-12,2026-04
Tales of Zestiria,E01607,314.0,2024-08,2026-04
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,E03566,248.0,2024-08,2024-11
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,E03566,248.0,2025-03,2025-05
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,E03566,248.0,2025-07,2026-04
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Deluxe Edition,E06534,348.0,2025-01,2025-01
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Deluxe Edition,E06534,348.0,2025-04,2026-04
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,E06534,348.0,2024-08,2024-10
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,E06534,348.0,2025-03,2025-04
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,E06534,348.0,2025-12,2025-12
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,E06534,348.0,2026-02,2026-02
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,E06534,348.0,2026-04,2026-04
Towa and the Guardians of the Sacred Tree,E06936,148.0,2025-12,2026-04
Towa and the Guardians of the Sacred Tree Deluxe Edition,E06936,198.0,2026-01,2026-01
Towa and the Guardians of the Sacred Tree Deluxe Edition,L00117,198.0,2025-12,2026-04
We Love Katamari REROLL+ Royal Reverie,E05071,148.0,2024-08,2025-04
We Love Katamari REROLL+ Royal Reverie,E05071,148.0,2025-06,2026-04
We Love Katamari REROLL+ Royal Reverie Special Edition,E06305,198.0,2024-08,2026-04
