paxCode,label,Normalized Name
PAX0010515690,Dragon Ball: Xenoverse Season Pass (DLC),dragon_ball_xenoverse_season_pass
PAX0010515724,Dragon Ball: Xenoverse 2,dragon_ball_xenoverse_2
PAX0010515826,Dragon Ball: Xenoverse 2 - Super Pass (DLC),dragon_ball_xenoverse_2_super_pass
PAX0010515894,Dragon Ball Z: Kakarot (Deluxe Edition),dragon_ball_z_kakarot_deluxe
PAX0010519362,Dragon Ball Z: Kakarot Season Pass (DLC),dragon_ball_z_kakarot_season_pass
PAX0010521640,Dragon Ball Z: Kakarot (Ultimate Edition),dragon_ball_z_kakarot_ultimate
PAX0010526978,Jump Force,jump_force
PAX0010532146,Naruto Shippuden: Ultimate Ninja Storm Trilogy,naruto_shippuden_ultimate_ninja_storm_trilogy
PAX0010533574,One Piece: World Seeker,one_piece_world_seeker
PAX0010533676,One Piece: Burning Blood,one_piece_burning_blood
PAX0010552240,Tekken 7 Season Pass (DLC),tekken_7_season_pass
PAX0010552342,Tekken 6,tekken_6
PAX0010556728,Naruto to Boruto: Shinobi Striker  Season Pass (DLC),naruto_to_boruto_shinobi_striker_season_pass
PAX0010567030,Naruto Shippuden: Ultimate Ninja Storm 2,naruto_shippuden_ultimate_ninja_storm_2
PAX0010567064,Naruto: Ultimate Ninja Storm,naruto_ultimate_ninja_storm
PAX0010567132,NARUTO STORM 4: Road to Boruto Expansion (DLC),naruto_storm_4_road_to_boruto_expansion
PAX0010567200,One Piece Burning Blood Gold Pack (DLC),one_piece_burning_blood_gold_pack
PAX0010567268,One Piece Pirate Warriors 3 Pack 2 (DLC),one_piece_pirate_warriors_3_pack_2
PAX0010585084,Black Clover: Quartet Knights,black_clover_quartet_knights
PAX0010585968,Naruto to Boruto: Shinobi Striker,naruto_to_boruto_shinobi_striker
PAX0010588518,God Eater 3,god_eater_3
PAX0010593278,One Punch Man: A Hero Nobody Knows,one_punch_man_a_hero_nobody_knows
PAX0010593414,Rad,rad
PAX0010593584,Code Vein,code_vein
PAX0010605960,One Piece: Pirate Warriors 4,one_piece_pirate_warriors_4
PAX0010607966,Dragon Ball FighterZ: FighterZ Pass 3 (DLC),dragon_ball_fighterz_fighterz_pass_3
PAX0010620750,Code Vein: Season Pass (DLC),code_vein_season_pass
PAX0010640538,One Piece: Pirate Warriors 4 - Character Pass (DLC),one_piece_pirate_warriors_4_character_pass
PAX0010640946,One Piece: Pirate Warriors 4 (Deluxe Edition),one_piece_pirate_warriors_4_deluxe
PAX0010702350,Sword Art Online: Fatal Bullet (Deluxe Edition),sword_art_online_fatal_bullet_deluxe
PAX0010731760,Doraemon Story of Seasons,doraemon_story_of_seasons
PAX0010781400,Sword Art Online: Alicization Lycoris,sword_art_online_alicization_lycoris
PAX0010797788,Sword Art Online: Alicization Lycoris (Deluxe Edition),sword_art_online_alicization_lycoris_deluxe
PAX0010797890,Mr. DRILLER DrillLand,mr_driller_drillland
PAX0010831006,My Hero One's Justice 2,my_hero_one_s_justice_2
PAX0010831040,My Hero One's Justice 2 (Deluxe Edition),my_hero_one_s_justice_2_deluxe
PAX0010831210,My Hero One's Justice 2 Season Pass (DLC),my_hero_one_s_justice_2_season_pass
PAX0010849876,Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions
PAX0010849944,Captain Tsubasa: Rise of New Champions (Deluxe Edition),captain_tsubasa_rise_of_new_champions_deluxe
PAX0010850046,Project Cars 3,project_cars_3
PAX0010850386,Project CARS 3,project_cars_3
PAX0010850420,Fast & Furious Crossroads,fast_furious_crossroads
PAX0010850454,Fast & Furious Crossroads (Deluxe Edition),fast_furious_crossroads_deluxe
PAX0010850488,Fast & Furious Crossroads Season Pass (DLC),fast_furious_crossroads_season_pass
PAX0010850522,Naruto to Boruto: Shinobi Striker Season Pass 2 (DLC),naruto_to_boruto_shinobi_striker_season_pass_2
PAX0010850556,Naruto to Boruto: Shinobi Striker Season Pass 3 (DLC),naruto_to_boruto_shinobi_striker_season_pass_3
PAX0010877960,Captain Tsubasa: Rise of New Champions Character Pass (DLC),captain_tsubasa_rise_of_new_champions_character_pass
PAX0010878402,Project Cars 3 Season Pass (DLC),project_cars_3_season_pass
PAX0010915088,Sword Art Online: Fatal Bullet,sword_art_online_fatal_bullet
PAX0010942390,Project CARS 2,project_cars_2
PAX0010948476,Accel World Vs. Sword Art Online (Deluxe Edition),accel_world_vs_sword_art_online_deluxe
PAX0010982544,The Dark Pictures: Little Hope,the_dark_pictures_little_hope
PAX0010983938,Pac-Man Championship Edition DX: All You can Eat Pack (DLC),pac_man_championship_dx_all_you_can_eat_pack
PAX0010995022,Digimon Story Cyber Sleuth (Complete Edition),digimon_story_cyber_sleuth_complete
PAX0010999306,Sword Art Online: Hollow Realization (Deluxe Edition),sword_art_online_hollow_realization_deluxe
PAX0011015694,Ni No Kuni II: Revenant Kingdom,ni_no_kuni_ii_revenant_kingdom
PAX0011015762,Ni no Kuni II: Revenant Kingdom (The Prince's Edition),ni_no_kuni_ii_revenant_kingdom_the_prince_s
PAX0011017122,Tales of Berseria,tales_of_berseria
PAX0011037828,Boost,boost
PAX0011042010,Tekken 7 Season Pass 4 (DLC),tekken_7_season_pass_4
PAX0011050068,DeadCore,deadcore
PAX0011056086,Soulcalibur VI,soulcalibur_vi
PAX0011060064,One Piece: Unlimited World Red (Deluxe Edition),one_piece_unlimited_world_red_deluxe
PAX0011063158,Hexodius,hexodius
PAX0011070536,Digimon Story Cyber Sleuth (Complete Edition),digimon_story_cyber_sleuth_complete
PAX0011077744,Jump Force: Character Pass (DLC),jump_force_character_pass
PAX0011078050,Naruto to Boruto: Shinobi Striker,naruto_to_boruto_shinobi_striker
PAX0011083252,Dragon Ball: Xenoverse 2,dragon_ball_xenoverse_2
PAX0011083694,Dark Souls III,dark_souls_iii
PAX0011083728,Dark Souls III (Deluxe Edition),dark_souls_iii_deluxe
PAX0011085190,Dark Souls II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin
PAX0011087230,Naruto Shippuden: Ultimate Ninja Storm 4 Season Pass (DLC),naruto_shippuden_ultimate_ninja_storm_4_season_pass
PAX0011102666,The Dark Pictures Anthology: Little Hope,the_dark_pictures_anthology_little_hope
PAX0011112662,Project Cars 2,project_cars_2
PAX0011150674,Jump Force,jump_force
PAX0011176038,Dragon Ball: Xenoverse Season Pass (DLC),dragon_ball_xenoverse_season_pass
PAX0011178724,Dark Souls III (Deluxe Edition),dark_souls_iii_deluxe
PAX0011183892,Little Nightmares,little_nightmares
PAX0011194296,Dark Souls II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin
PAX0011201402,Dragon Ball: Xenoverse Season Pass (DLC),dragon_ball_xenoverse_season_pass
PAX0011201674,Little Nightmares: Secrets of The Maw - Expansion Pass (DLC),little_nightmares_secrets_of_the_maw_expansion_pass
PAX0011201878,Dark Souls III: Season Pass (DLC),dark_souls_iii_season_pass
PAX0011204496,Platformines,platformines
PAX0011204972,.Hack//G.U. Last Recode,hack_g_u_last_recode
PAX0011207386,Little Nightmares II,little_nightmares_ii
PAX0011207420,Little Nightmares II (Deluxe Edition),little_nightmares_ii_deluxe
PAX0011210956,Project Cars 2 (Deluxe Edition),project_cars_2_deluxe
PAX0011212350,One Piece: World Seeker,one_piece_world_seeker
PAX0011216498,The Dark Pictures Anthology: Little Hope,the_dark_pictures_anthology_little_hope
PAX0011216770,Tekken 7 (Ultimate Edition),tekken_7_ultimate
PAX0011218844,Jump Force (Ultimate Edition),jump_force_ultimate
PAX0011219898,Tekken 7,tekken_7
PAX0011219966,One Punch Man: A Hero Nobody Knows,one_punch_man_a_hero_nobody_knows
PAX0011220306,One Punch Man: A Hero Nobody Knows (Deluxe Edition),one_punch_man_a_hero_nobody_knows_deluxe
PAX0011221632,Dragon Ball Z: Kakarot,dragon_ball_z_kakarot
PAX0011222856,Twin Mirror,twin_mirror
PAX0011223468,Naruto to Boruto: Shinobi Striker (Deluxe Edition),naruto_to_boruto_shinobi_striker_deluxe
PAX0011228024,Project Cars (Digital Edition),project_cars_digital
PAX0011229078,Project Cars 2 (Deluxe Edition),project_cars_2_deluxe
PAX0011229452,The Dark Pictures Anthology: Little Hope,the_dark_pictures_anthology_little_hope
PAX0011229894,Captain Tsubasa: Rise of New Champions - Character Pass (DLC),captain_tsubasa_rise_of_new_champions_character_pass
PAX0011233736,Captain Tsubasa: Rise of a New Champions,captain_tsubasa_rise_of_a_new_champions
PAX0011233974,Namco Museum Archives Volume 1,namco_museum_archives_volume_1
PAX0011234110,Namco Museum Archives Volume 2,namco_museum_archives_volume_2
PAX0011238836,God Eater 2: Rage Burst,god_eater_2_rage_burst
PAX0011239006,Ni no Kuni II: Revenant Kingdom,ni_no_kuni_ii_revenant_kingdom
PAX0011241386,Project Cars 2: Japanese Cars Bonus Pack (DLC),project_cars_2_japanese_cars_bonus_pack
PAX0011249818,New Gundam Breaker,new_gundam_breaker
PAX0011254034,Ridge Racer Unbounded Bundle,ridge_racer_unbounded_bundle
PAX0011254782,Little Nightmares II,little_nightmares_ii
PAX0011254884,Little Nightmares II,little_nightmares_ii
PAX0011254918,Little Nightmares II (Deluxe Edition),little_nightmares_ii_deluxe
PAX0011265050,One Piece: Pirate Warriors 4 (Deluxe Edition),one_piece_pirate_warriors_4_deluxe
PAX0011267056,Accel World Vs. Sword Art Online (Deluxe Edition),accel_world_vs_sword_art_online_deluxe
PAX0011268178,Ni no Kuni: Wrath of the White Witch Remastered,ni_no_kuni_wrath_of_the_white_witch_remastered
PAX0011271340,Tales of Vesperia (Definitive Edition),tales_of_vesperia_definitive
PAX0011280214,Project Cars 3,project_cars_3
PAX0011291060,Tekken 7 (Ultimate Edition),tekken_7_ultimate
PAX0011300546,Dark Souls III (Deluxe Edition),dark_souls_iii_deluxe
PAX0011312446,Jump Force: Character Pass 2 (DLC),jump_force_character_pass_2
PAX0011312922,Code Vein (Deluxe Edition),code_vein_deluxe
PAX0011314860,One Piece Pirate Warriors 3 (Gold Edition),one_piece_pirate_warriors_3_gold
PAX0011315778,Project Cars: Modified Car Pack (DLC),project_cars_modified_car_pack
PAX0011322374,Little Nightmares: Secrets of The Maw (DLC),little_nightmares_secrets_of_the_maw
PAX0011326488,Dark Souls II: Season Pass (DLC),dark_souls_ii_season_pass
PAX0011330092,Project Cars 2: Japanese Bonus Cars Pack (DLC),project_cars_2_japanese_bonus_cars_pack
PAX0011333050,Ni no Kuni II: Revenant Kingdom,ni_no_kuni_ii_revenant_kingdom
PAX0011334240,Dragon Ball Xenoverse GT Pack 1 (DLC),dragon_ball_xenoverse_gt_pack_1
PAX0011338218,Soulcalibur VI (Deluxe Edition),soulcalibur_vi_deluxe
PAX0011340360,Project Cars,project_cars
PAX0011353722,Tekken 7 Season Pass 2 (DLC),tekken_7_season_pass_2
PAX0011354674,Get Even,get_even
PAX0011354742,Get Even,get_even
PAX0011356272,My Hero One's Justice 2 (Deluxe Edition),my_hero_one_s_justice_2_deluxe
PAX0011357190,One Piece: Pirate Warriors 4,one_piece_pirate_warriors_4
PAX0011357292,Ridge Racer Unbounded Bundle,ridge_racer_unbounded_bundle
PAX0011359672,Dragon Ball FighterZ,dragon_ball_fighterz
PAX0011363990,Dark Souls III: Season Pass (DLC),dark_souls_iii_season_pass
PAX0011365316,Dragon Ball Xenoverse 2: Super Pass (DLC),dragon_ball_xenoverse_2_super_pass
PAX0011368172,Naruto Shippuden: Ultimate Ninja Storm 4,naruto_shippuden_ultimate_ninja_storm_4
PAX0011370926,Little Witch Academia: Chamber of Time,little_witch_academia_chamber_of_time
PAX0011373680,Dark Souls III,dark_souls_iii
PAX0011374224,Namco Museum Archives Volume 1,namco_museum_archives_volume_1
PAX0011389626,God Eater 2: Rage Burst,god_eater_2_rage_burst
PAX0011393332,Project Cars 2,project_cars_2
PAX0011405844,Naruto Shippuden: Ultimate Ninja Storm Trilogy,naruto_shippuden_ultimate_ninja_storm_trilogy
PAX0011414276,God Eater 3,god_eater_3
PAX0011416112,Dragon Ball: Xenoverse 2 - Ultra Pack Set (DLC),dragon_ball_xenoverse_2_ultra_pack_set
PAX0011417506,Dragon Ball Z: Kakarot - A New Power Awakens Set steam (DLC),dragon_ball_z_kakarot_a_new_power_awakens_set_steam
PAX0011418968,Soulcalibur VI,soulcalibur_vi
PAX0011435764,.Hack//G.U. Last Recode,hack_g_u_last_recode
PAX0011441850,One Punch Man: A Hero Nobody Knows - Character Pass (DLC),one_punch_man_a_hero_nobody_knows_character_pass
PAX0011443788,Tekken 7 (Ultimate Edition),tekken_7_ultimate
