Product Name,Normalized Name,Customer Reference,months_seen,first_period,last_period,resellers,item_number_candidates,needs_review,review_reasons
DRAGON BALL Z: KAKAROT - DAIMA EDITION,dragon_ball_z_kakarot_daima,L00113,7,2025-12,2026-06,"Heybox, Sonkwo",L00113=7p,False,
DRAGON BALL Z: KAKAROT Deluxe Edition,dragon_ball_z_kakarot_deluxe,E03730,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03730=21p,False,
DRAGON BALL Z: KAKAROT Legendary Edition,dragon_ball_z_kakarot_legendary,E06163,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06163=21p,False,
DRAGON BALL Z : KAKAROT - MASTER EDITION,dragon_ball_z_kakarot_master,L00114,7,2025-12,2026-06,"Heybox, Sonkwo",L00114=7p,False,
EVERYBODY'S GOLF HOT SHOTS,everybody_s_golf_hot_shots,L00036,8,2025-10,2026-06,"Heybox, Sonkwo",L00036=8p,True,shared_item_number
Everybody's Golf: Hotshots,everybody_s_golf_hotshots,L00036,12,2025-07,2026-06,Alibaba,L00036=12p,True,shared_item_number
FREEDOM WARS Remastered,freedom_wars_remastered,E06517,12,2025-07,2026-06,Alibaba,E06517=12p,False,
GOD EATER 2 Rage Burst,god_eater_2_rage_burst,E05369,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05369=21p,False,
GOD EATER 3,god_eater_3,E03177,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03177=19p,True,shared_item_number
God Eaters 3,god_eaters_3,E03177,1,2024-10,2024-10,,E03177=1p,True,shared_item_number
GUNDAM BREAKER 4,gundam_breaker_4,E04524,22,2024-08_2024-09,2026-06,"Alibaba, Heybox",E04524=22p,False,
GUNDAM BREAKER 4 Deluxe Edition,gundam_breaker_4_deluxe,E06529,22,2024-08_2024-09,2026-06,"Alibaba, Heybox",E06529=22p,False,
GUNDAM BREAKER 4 Ultimate Edition,gundam_breaker_4_ultimate,E06530,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06530=22p,False,
.hack//G.U. Last Recode,hack_g_u_last_recode,E05367,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05367=21p,False,
JoJo's Bizarre Adventure: All-Star Battle R,jojo_s_bizarre_adventure_all_star_battle_r,E03528,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03528=20p,False,
JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,jojo_s_bizarre_adventure_all_star_battle_r_deluxe,E05524,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05524=22p,False,
