Normalized Name,Product Name,reseller
taiko_no_tatsujin_rhythm_festival_the_setlist,Taiko no Tatsujin: Rhythm Festival The Setlist Edition,Sonkwo
tales_of_arise,Tales of Arise,Sonkwo
tales_of_arise_beyond_the_dawn,Tales of Arise - Beyond the Dawn Edition,Sonkwo
tales_of_arise_beyond_the_dawn_deluxe,Tales of Arise - Beyond the Dawn Deluxe Edition,Sonkwo
tales_of_arise_beyond_the_dawn_expansion,Tales of Arise - Beyond the Dawn Expansion,Sonkwo
tales_of_arise_beyond_the_dawn_premium,Tales of Arise Beyond the Dawn Premium Edition,Sonkwo
tales_of_arise_beyond_the_dawn_ultimate,Tales of Arise - Beyond the Dawn Ultimate Edition,Sonkwo
tales_of_berseria,Tales of Berseria,Sonkwo
tales_of_graces_f_remastered,Tales of Graces f Remastered,Sonkwo
tales_of_graces_f_remastered_deluxe,Tales of Graces f Remastered Deluxe Edition,Sonkwo
tales_of_vesperia_definitive,Tales of Vesperia™: Definitive Edition,Sonkwo
tales_of_xillia_remastered,Tales of Xillia Remastered,Sonkwo
tales_of_xillia_remastered_deluxe,Tales of Xillia Remastered Deluxe Edition,Sonkwo
tales_of_zestiria,Tales of Zestiria,Sonkwo
tekken_7,TEKKEN 7,Sonkwo
tekken_7_originals,TEKKEN 7 - Originals Edition,Sonkwo
tekken_8,TEKKEN 8,Sonkwo
tekken_8_advanced,TEKKEN 8 - Advanced Edition,Sonkwo
tekken_8_season_2_deluxe,TEKKEN 8 Season 2 Deluxe Edition,Sonkwo
tekken_8_season_2_ultimate,TEKKEN 8 Season 2 Ultimate Edition,Sonkwo
that_time_i_got_reincarnated_as_a_slime_isekai_chronicles_deluxe,That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,Sonkwo
the_blood_of_dawnwalker,The Blood of Dawnwalker,Sonkwo
the_blood_of_dawnwalker_eclipse,The Blood of Dawnwalker Eclipse Edition,Sonkwo
the_idolm_ster_starlit_season,THE IDOLM@STER STARLIT SEASON,Sonkwo
the_idolm_ster_starlit_season_deluxe,THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,Sonkwo
towa_and_the_guardians_of_the_sacred_tree,Towa and the Guardians of the Sacred Tree,Sonkwo
towa_and_the_guardians_of_the_sacred_tree_deluxe,Towa and the Guardians of the Sacred Tree Deluxe Edition,Sonkwo
we_love_katamari_reroll_royal_reverie,We Love Katamari REROLL+ Royal Reverie,Sonkwo
we_love_katamari_reroll_royal_reverie_special,We Love Katamari REROLL+ Royal Reverie Special Edition,Sonkwo
