Normalized Name,Product Name,reseller
jujutsu_kaisen_cursed_clash_ultimate,Jujutsu Kaisen Cursed Clash Ultimate Edition,Heybox
klonoa_phantasy_reverie_series,Klonoa Phantasy Reverie Series,Heybox
little_nightmares_iii,Little Nightmares III,Heybox
little_nightmares_iii_deluxe,Little Nightmares III Deluxe Edition,Heybox
little_nightmares_vr_altered_echoes,Little Nightmares VR: Altered Echoes,Heybox
mobile_suit_gundam_seed_battle_destiny_remastered,MOBILE SUIT GUNDAM SEED BATTLE DESTINY REMASTERED,Heybox
naruto_shippuden_ultimate_ninja_storm_2,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,Heybox
naruto_shippuden_ultimate_ninja_storm_3_eu_version,Naruto Shippuden Ultimate Ninja Storm 3 - EU Version,Heybox
naruto_shippuden_ultimate_ninja_storm_4,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,Heybox
naruto_shippuden_ultimate_ninja_storm_4_road_to_boruto,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,Heybox
naruto_shippuden_ultimate_ninja_storm_legacy,NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,Heybox
naruto_shippuden_ultimate_ninja_storm_trilogy,NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,Heybox
naruto_to_boruto_shinobi_striker,NARUTO TO BORUTO: SHINOBI STRIKER,Heybox
naruto_to_boruto_shinobi_striker_deluxe,NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,Heybox
naruto_to_boruto_shinobi_striker_ultimate,NARUTO TO BORUTO: SHINOBI STRIKER Ultimate Edition,Heybox
naruto_ultimate_ninja_storm,NARUTO: Ultimate Ninja STORM,Heybox
naruto_x_boruto_ultimate_ninja_storm_connections,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,Heybox
naruto_x_boruto_ultimate_ninja_storm_connections_deluxe,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition,Heybox
naruto_x_boruto_ultimate_ninja_storm_connections_ultimate,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,Heybox
new_gundam_breaker,New Gundam Breaker,Heybox
once_upon_a_katamari,Once Upon A KATAMARI,Heybox
once_upon_a_katamari_king_of_all_sounds,Once Upon A KATAMARI - King of All Sounds Edition,Heybox
one_piece_burning_blood,ONE PIECE BURNING BLOOD,Heybox
one_piece_burning_blood_gold,ONE PIECE BURNING BLOOD GOLD Edition,Heybox
one_piece_odyssey,ONE PIECE ODYSSEY,Heybox
one_piece_odyssey_deluxe,ONE PIECE ODYSSEY Deluxe Edition,Heybox
