Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
SD GUNDAM G GENERATION CROSS RAYS Platinum Edition,sd_gundam_g_generation_cross_rays_platinum,,Sonkwo,0.89,163.64,CNY,2025-10,2025-10
SOULCALIBUR VI,soulcalibur_vi,PAX0009799344,Sonkwo,1.09,26.73,CNY,2025-10,2025-10
SOULCALIBUR VI Deluxe Edition,soulcalibur_vi_deluxe,PAX0009799650,Sonkwo,2.25,65.13,CNY,2025-10,2025-10
SPY×ANYA: Operation Memories Deluxe Edition,spy_anya_operation_memories_deluxe,,Sonkwo,1.12,245.79,CNY,2025-10,2025-10
SUPER ROBOT WARS X,super_robot_wars_x,PAX0011599848,Sonkwo,22.58,69.74,CNY,2025-10,2025-10
SUPER ROBOT WARS Y,super_robot_wars_y,PAX0014733764,Sonkwo,0.93,258.07,CNY,2025-10,2025-10
SUPER ROBOT WARS Y Deluxe Edition,super_robot_wars_y_deluxe,PAX0014929502,Sonkwo,1.08,568.02,CNY,2025-10,2025-10
SWORD ART ONLINE Alicization Lycoris Deluxe,sword_art_online_alicization_lycoris_deluxe,PAX0010797788,Sonkwo,4.25,88.37,CNY,2025-10,2025-10
SWORD ART ONLINE Fractured Daydream Deluxe Edition,sword_art_online_fractured_daydream_deluxe,,Sonkwo,1.12,341.41,CNY,2025-10,2025-10
SWORD ART ONLINE Fractured Daydream Premium Edition,sword_art_online_fractured_daydream_premium,,Sonkwo,0.87,377.6,CNY,2025-10,2025-10
SWORD ART ONLINE Last Recollection,sword_art_online_last_recollection,PAX0013159190,Sonkwo,2.29,78.52,CNY,2025-10,2025-10
SWORD ART ONLINE Last Recollection Deluxe Edition,sword_art_online_last_recollection_deluxe,PAX0014008374,Sonkwo,5.29,116.28,CNY,2025-10,2025-10
Super Robot Wars 30,super_robot_wars_30,PAX0011886978,Sonkwo,5.31,107.46,CNY,2025-10,2025-10
Super Robot Wars 30 Ultimate Edition,super_robot_wars_30_ultimate,PAX0011934816,Sonkwo,2.1,242.55,CNY,2025-10,2025-10
Sword Art Online: Fatal Bullet,sword_art_online_fatal_bullet,PAX0009455468,Sonkwo,2.82,24.79,CNY,2025-10,2025-10
Sword Art Online: Fatal Bullet Complete Edition,sword_art_online_fatal_bullet_complete,PAX0009957376,Sonkwo,1.09,102.9,CNY,2025-10,2025-10
Sword Art Online: Hollow Realization Deluxe Edition,sword_art_online_hollow_realization_deluxe,PAX0009348402,Sonkwo,4.57,45.76,CNY,2025-10,2025-10
Sword Art Online: Lost Song,sword_art_online_lost_song,PAX0010120168,Sonkwo,2.85,23.77,CNY,2025-10,2025-10
TEKKEN 7 - Originals Edition,tekken_7_originals,PAX0012530020,Sonkwo,2.24,52.43,CNY,2025-10,2025-10
